leaf_id,path_ids,path_labels
L4_N31c774ef,L1_N70e79b29/L2_N69b20189/L3_N571de1aa/L4_N31c774ef,市场主体与网络/鼓励新设立基地货运航空公司/大力招引货运航空公司/加强与货运航空公司合作
L4_N219c5452,L1_N70e79b29/L2_N69b20189/L3_N29e43ee4/L4_N219c5452,市场主体与网络/鼓励新设立基地货运航空公司/建设货运包机运营基地/成立货运机场联盟
L4_N61514be4,L1_N70e79b29/L2_N69b20189/L3_N29e43ee4/L4_N61514be4,市场主体与网络/鼓励新设立基地货运航空公司/建设货运包机运营基地/持续发力全货运包机业务
L4_N8d005590,L1_N70e79b29/L2_N69b20189/L3_N29e43ee4/L4_N8d005590,市场主体与网络/鼓励新设立基地货运航空公司/建设货运包机运营基地/健全应急物流包机服务体系
L4_Nbc7f4787,L1_N70e79b29/L2_Nf64b0b03/L3_N62ed0091/L4_Nbc7f4787,市场主体与网络/提高物流服务保障效率/推进智慧物流建设/推进保税物流园区建设
L4_N6bcc2030,L1_N70e79b29/L2_N2f32c229/L3_Na1b5b8e4/L4_N6bcc2030,市场主体与网络/增强航空物流服务能力/加快国际航空物流中心载体建设/构建高效的航空物流地面集散体系
L4_Na35280bb,L1_N70e79b29/L2_Nc3c2ff15/L3_Na7c6a537/L4_Na35280bb,市场主体与网络/完善多式联运体系/推动多式联运发展/构建多式联运的物流网络
L4_N3ac13c17,L1_N70e79b29/L2_Nc3c2ff15/L3_Nd290d812/L4_N3ac13c17,市场主体与网络/完善多式联运体系/探索开展多式联运/探索异地货站模式
L4_Na8ba2f4a,L1_N70e79b29/L2_Nc3c2ff15/L3_Nd290d812/L4_Na8ba2f4a,市场主体与网络/完善多式联运体系/探索开展多式联运/探索开展多式联运
L4_Nb11795db,L1_N70e79b29/L2_N926fa20a/L3_N945a64d3/L4_Nb11795db,市场主体与网络/优化拓展货运航线网络/加密货运航线/开通贸易密切城市航线
L4_N945a64d3,L1_N70e79b29/L2_N926fa20a/L3_N945a64d3/L4_N945a64d3,市场主体与网络/优化拓展货运航线网络/加密货运航线/加密货源丰富地区航线
L4_Ne0f95b19,L1_N70e79b29/L2_N926fa20a/L3_Nc594b785/L4_Ne0f95b19,市场主体与网络/优化拓展货运航线网络/拓展航空货运细分领域/推进航空敏感货物运输业务
L4_Ne346220c,L1_N70e79b29/L2_N13abaa5a/L3_Nb67e0092/L4_Ne346220c,市场主体与网络/增强货运保障能力/提升国际货运中转功能/提升国际航空货运枢纽全球响应能力
L4_N94978a33,L1_N70e79b29/L2_N13abaa5a/L3_Nb67e0092/L4_N94978a33,市场主体与网络/增强货运保障能力/提升国际货运中转功能/提升客机腹舱货邮量
L4_N9596affd,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_N9596affd,市场主体与网络/增强货运保障能力/完善货运设施功能/积极推进机场各货运区规划建设
L4_Nc0927f0b,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_Nc0927f0b,市场主体与网络/增强货运保障能力/完善货运设施功能/稳步推进货运基础设施建设
L4_N2720f054,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_N2720f054,市场主体与网络/增强货运保障能力/完善货运设施功能/补齐机场设施短板
L4_Ndfac356a,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_Ndfac356a,市场主体与网络/增强货运保障能力/完善货运设施功能/规划配置货机位
L4_N5fc249ab,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_N5fc249ab,市场主体与网络/增强货运保障能力/完善货运设施功能/规划配置陆侧道路
L4_N6bfccf65,L1_N70e79b29/L2_N13abaa5a/L3_Nb328f7fc/L4_N6bfccf65,市场主体与网络/增强货运保障能力/完善货运设施功能/规划配置空侧道路和配套办公设施
L4_Na2b3c84a,L1_N70e79b29/L2_N68c2aa93/L3_N4da94e7a/L4_Na2b3c84a,市场主体与网络/提升货源组织能力/大力拓展货源/拓展园区货源
L4_N9273a814,L1_N6be998d8/L2_Nbde783bd/L3_N7e9ff5f6/L4_N9273a814,通关与口岸效能/优化航空口岸服务环境/提升航空口岸便利化水平/建立三关合一创新监管模式
L4_Nfa586cf7,L1_N6be998d8/L2_Nbde783bd/L3_N7e9ff5f6/L4_Nfa586cf7,通关与口岸效能/优化航空口岸服务环境/提升航空口岸便利化水平/提升空港口岸通关作业电子化水平
L4_N34f6aab4,L1_N6be998d8/L2_N0109e16a/L3_N53ff6178/L4_N34f6aab4,通关与口岸效能/优化拓展航空口岸服务功能/提高口岸通关便利化水平/搭建通关申报单一窗口平台
L4_N8648b9f1,L1_N6be998d8/L2_N0109e16a/L3_N4b540045/L4_N8648b9f1,通关与口岸效能/优化拓展航空口岸服务功能/加快大通关基地建设运营/突破传统监管模式
L4_N5edfd835,L1_N6be998d8/L2_N0109e16a/L3_N4b540045/L4_N5edfd835,通关与口岸效能/优化拓展航空口岸服务功能/加快大通关基地建设运营/实行一站式通关作业模式
L4_Nfb48b97b,L1_N6be998d8/L2_N0109e16a/L3_N4b540045/L4_Nfb48b97b,通关与口岸效能/优化拓展航空口岸服务功能/加快大通关基地建设运营/强化大通关基地与自贸试验区机场片区联动发展
L4_N6c65c54a,L1_N6be998d8/L2_N227589e0/L3_Nce212504/L4_N6c65c54a,通关与口岸效能/提升口岸服务效能/提升口岸通关便利化/提升空港口岸通关效率
L4_N6e9da33c,L1_N6bbea948/L2_Ne1879105/L3_N1b187997/L4_N6e9da33c,智慧绿色转型/提升枢纽智慧水平/提升航空货运智慧化水平/实施航空货运全流程定位追踪
L4_N6b11fc79,L1_N6bbea948/L2_Ne1879105/L3_N1b187997/L4_N6b11fc79,智慧绿色转型/提升枢纽智慧水平/提升航空货运智慧化水平/打造良好的航空货运社区
L4_N96f6c2a8,L1_N6bbea948/L2_Ne1879105/L3_N09522c48/L4_N96f6c2a8,智慧绿色转型/提升枢纽智慧水平/推进智慧平台建设/加快构建智慧航空物流综合服务平台
L4_Ne55e384d,L1_N6bbea948/L2_Ne1879105/L3_N09522c48/L4_Ne55e384d,智慧绿色转型/提升枢纽智慧水平/推进智慧平台建设/统筹单据电子化建设
L4_N1244f6cb,L1_N6bbea948/L2_Ne1879105/L3_N09522c48/L4_N1244f6cb,智慧绿色转型/提升枢纽智慧水平/推进智慧平台建设/统筹单据标准化建设
L4_Nea0a385e,L1_N6bbea948/L2_Nfdcfd3c4/L3_Ne42076c0/L4_Nea0a385e,智慧绿色转型/智慧货运高效管理/推进智慧货运高效管理/实现货物状态可视化
L4_N48c963e1,L1_N6bbea948/L2_Nfdcfd3c4/L3_Ne42076c0/L4_N48c963e1,智慧绿色转型/智慧货运高效管理/推进智慧货运高效管理/引入资金
L4_N0188902d,L1_N52f6895e/L2_Na5b73aaf/L3_N724f0a0b/L4_N0188902d,区域协同与产业联动/推动区港联动发展/加强与重点产业园区对接/建设跨境产业园
L4_Naf94a663,L1_N52f6895e/L2_Na5b73aaf/L3_Nc3d125b3/L4_Naf94a663,区域协同与产业联动/推动区港联动发展/加强港区高效联动/推动区港联动
L4_N5a060ef1,L1_N52f6895e/L2_N4f9516d8/L3_Nd93e3e25/L4_N5a060ef1,区域协同与产业联动/大力发展航空经济/发展临空经济/加快临空产业园建设
L4_N1513dd0d,L1_N52f6895e/L2_N4f9516d8/L3_Nd93e3e25/L4_N1513dd0d,区域协同与产业联动/大力发展航空经济/发展临空经济/加快临空仓储物流快递集群建设
L4_Nc28ba84f,L1_N52f6895e/L2_N4f9516d8/L3_Nd93e3e25/L4_Nc28ba84f,区域协同与产业联动/大力发展航空经济/发展临空经济/支持飞机维修产业加快发展
L4_N59784fee,L1_N604d4c42/L2_N24b2144b/L3_Ne6cde812/L4_N59784fee,资源与要素保障/加大政策扶持力度/完善配套政策支持/强化促进两个网络发展政策支持
L4_Nada24d28,L1_N604d4c42/L2_N24b2144b/L3_Ne6cde812/L4_Nada24d28,资源与要素保障/加大政策扶持力度/完善配套政策支持/强化促进两个枢纽发展政策支持
L4_N6c7fdcaf,L1_N604d4c42/L2_N24b2144b/L3_Ne6cde812/L4_N6c7fdcaf,资源与要素保障/加大政策扶持力度/完善配套政策支持/强化电子商务发展政策支持
L4_N832c0c49,L1_N977ed730/L2_N6d9c5da7/L3_N832c0c49/L4_N832c0c49,营商环境优化/营造宜商宜业环境/建设跨境电商服务平台/打造中国东盟跨境电商综合服务平台
L4_N3494c85c,L1_N977ed730/L2_N6d9c5da7/L3_N832c0c49/L4_N3494c85c,营商环境优化/营造宜商宜业环境/建设跨境电商服务平台/简单加工等服务成为东盟跨境电商的核心服务商
L4_Nd3a9b4af,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_Nd3a9b4af,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/与快递企业深度合作
L4_Nf3f8f8c3,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_Nf3f8f8c3,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/实现门到门服务
L4_N198738ba,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N198738ba,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜集散中心
L4_N3fa16235,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N3fa16235,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜加工中心
L4_N32b417e2,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N32b417e2,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/打造生鲜交易中心
L4_N69265178,L1_N21391b6c/L2_Nd825449f/L3_N97559905/L4_N69265178,产业生态拓展/延伸产业丰富业态/延伸航空物流链条/建立健全中转物流链
L4_N7d2d45d8,L1_N21391b6c/L2_Nd39445b0/L3_N7d2d45d8/L4_N7d2d45d8,产业生态拓展/大力开拓航空物流新兴业态/冷链物流基建推进/推进冷链物流基础设施建设
L4_N1c9477d5,L1_N21391b6c/L2_Nd39445b0/L3_N1c9477d5/L4_N1c9477d5,产业生态拓展/大力开拓航空物流新兴业态/冷链物流标准建设/完善冷链物流标准化体系
L4_N0e93e380,L1_N21391b6c/L2_Nd39445b0/L3_N0e93e380/L4_N0e93e380,产业生态拓展/大力开拓航空物流新兴业态/制造业融合促进/加强同制造业融合发展
L4_N70a840eb,L1_N21391b6c/L2_Nd39445b0/L3_N595f8c05/L4_N70a840eb,产业生态拓展/大力开拓航空物流新兴业态/逐步完善冷链物流产业/完善冷链物流监管
L4_Nc2b9cf21,L1_N21391b6c/L2_Nd39445b0/L3_N595f8c05/L4_Nc2b9cf21,产业生态拓展/大力开拓航空物流新兴业态/逐步完善冷链物流产业/完善冷链物流信用体系
L4_Na1c24377,L1_N21391b6c/L2_Nd39445b0/L3_N18ada171/L4_Na1c24377,产业生态拓展/大力开拓航空物流新兴业态/积极推进跨境电商发展/推进跨境电商产业园区建设
L4_N5e94e625,L1_N21391b6c/L2_Nd39445b0/L3_N18ada171/L4_N5e94e625,产业生态拓展/大力开拓航空物流新兴业态/积极推进跨境电商发展/推动跨境电商企业数字化转型
L4_N6834f90a,L1_N21391b6c/L2_Nd39445b0/L3_N18ada171/L4_N6834f90a,产业生态拓展/大力开拓航空物流新兴业态/积极推进跨境电商发展/推进跨境电商园区建设
L4_N8bd3a8a5,L1_N21391b6c/L2_Nd39445b0/L3_Nd551ce89/L4_N8bd3a8a5,产业生态拓展/大力开拓航空物流新兴业态/发展航空中转集拼业务/加快中转硬件设施配套
L4_N90c2cae1,L1_N21391b6c/L2_Nd39445b0/L3_Nd551ce89/L4_N90c2cae1,产业生态拓展/大力开拓航空物流新兴业态/发展航空中转集拼业务/优化企业运营软环境
L4_N6dc065d5,L1_N21391b6c/L2_Nd39445b0/L3_N640a2992/L4_N6dc065d5,产业生态拓展/大力开拓航空物流新兴业态/进一步优化供应链管理/建立供应链服务平台
L4_Nf47f4823,L1_N21391b6c/L2_Nd39445b0/L3_N640a2992/L4_Nf47f4823,产业生态拓展/大力开拓航空物流新兴业态/进一步优化供应链管理/推动供应链金融快速发展
L4_N2d19c279,L1_N07a80a4d/L2_N709fdde1/L3_N33c0e278/L4_N2d19c279,多元经营主体培育/培育市场主体/引进培育总部型货代企业/引育优质货运代理
L4_N3bc888c0,L1_N07a80a4d/L2_N709fdde1/L3_Nb2d030f0/L4_N3bc888c0,多元经营主体培育/培育市场主体/培育物流龙头企业/引育大型电商物流企业
L4_N162d5723,L1_N07a80a4d/L2_N709fdde1/L3_Ncc6e46eb/L4_N162d5723,多元经营主体培育/培育市场主体/加强市场推介/加强国内外航空货运市场推介
L4_Nbf72ad46,L1_N39371e6b/L2_N10f72f08/L3_N3ba23cb1/L4_Nbf72ad46,增量市场拓展/大力拓展增量市场业务/大力发展货运中转业务/开展多形式中转业务
L4_N6aba220c,L1_N39371e6b/L2_N10f72f08/L3_N3ba23cb1/L4_N6aba220c,增量市场拓展/大力拓展增量市场业务/大力发展货运中转业务/开展多渠道中转业务
L4_N0d91d293,L1_N39371e6b/L2_N10f72f08/L3_N3ba23cb1/L4_N0d91d293,增量市场拓展/大力拓展增量市场业务/大力发展货运中转业务/延伸货运服务
L4_N08407b0e,L1_N55ba89a6/L2_N70eeee1d/L3_N70eeee1d/L4_N08407b0e,服务管理优化/提升运营管理能力/提升运营管理能力/增强经营实力
L4_Na35a474b,L1_N906f0fb9/L2_Na35a474b/L3_Na35a474b/L4_Na35a474b,战略引资与资本合作/引入战略投资/引入战略投资/引入战略投资者
L4_Nd788e769,L1_N5d2e3c44/L2_Nb0e7dd4f/L3_Naeed249a/L4_Nd788e769,数字基础设施/加快数字基础设施建设/加强招商/加强国内外航空货运招商工作
