parent_id,parent_label,parent_level,child_id,child_label,child_level,edge_depth
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L2_Nd8a500a1,加快完善枢纽规划布局,L2,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L2_N0a6e8ca5,加快推进基础设施建设,L2,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L2_N7d5270bf,集中力量建设中国国际航空物流中心,L2,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L1_N6e836104_BR_99d8b8,基础设施建设,L2,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L3_Nd003c070,加快中国国际航空物流中心载体建设,L3,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L3_N51765af4,优化航空物流产业生态系统,L3,3
L1_N6e836104_BR_7637d7,枢纽规划与建设,L2,L3_N08db7b5b,加强基础设施建设,L3,3
L1_N6e836104,基础设施与枢纽,L1,L1_N6e836104_BR_c83016,货运基础设施,L2,2
L1_N6e836104_BR_c83016,货运基础设施,L2,L2_N8228268e,提升货运设施保障能力,L3,3
L2_N8228268e,提升货运设施保障能力,L3,L3_Nd571b089,提升装备专业化水平,L4,4
L2_N8228268e,提升货运设施保障能力,L3,L2_N8228268e_BR_50c2c9,货运设施智能化,L4,4
L2_N8228268e,提升货运设施保障能力,L3,L4_Na052476c,提升机场货站智能化水平,L4,4
L1_N6e836104_BR_c83016,货运基础设施,L2,L2_N3c9cbbd0,持续夯实机场空侧基础保障,L3,3
L2_N3c9cbbd0,持续夯实机场空侧基础保障,L3,L3_N9ae5e272,统筹一级货站功能,L4,4
L2_N3c9cbbd0,持续夯实机场空侧基础保障,L3,L3_N701e7011,优化空空中转业务,L4,4
L1_N6e836104_BR_c83016,货运基础设施,L2,L2_N18198f00,畅通机场陆侧货运物流体系,L3,3
L2_N18198f00,畅通机场陆侧货运物流体系,L3,L3_Nba68b284,完善机场地区交通集疏运体系,L4,4
L1_N6e836104_BR_c83016,货运基础设施,L2,L2_Nadf8c478,完善机场货运基础设施,L2,3
L1_N6e836104_BR_c83016,货运基础设施,L2,L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,3
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L3_N8b934feb,优化客货运航线网络,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L3_N7c0dd099,强化货运枢纽地位,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L3_N14530829,增强机场集疏运能力,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L3_N06f95f57,推进航空客货枢纽建设,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L3_Ne96a4ba3,增强航空货运基础保障能力,L4,4
L3_Ne96a4ba3,增强航空货运基础保障能力,L4,L4_Nf737d76d,加强地面综合交通能力匹配,L5,5
L3_Ne96a4ba3,增强航空货运基础保障能力,L4,L4_N4b0d0e0c,优化空港口岸海关指定监管场地布局,L5,5
L3_Ne96a4ba3,增强航空货运基础保障能力,L4,L4_Nef2378d9,丰富空港口岸资质类型,L5,5
L3_Ne96a4ba3,增强航空货运基础保障能力,L4,L4_N848f47e5,统筹完善机场航空货运保障设施设备,L5,5
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L2_Nb80d9c6e_BR_fdd38b,航线网络建设,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L4_N30b235c2,推动机场功能定位差异化发展,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L4_N255c1775,推进客货枢纽建设,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L4_Nc38e3e2b,加快补齐核心资源短板,L4,4
L2_Nb80d9c6e,提升航空货运枢纽集疏运能力,L3,L4_N3220a070,着力打造内畅外联航线网络,L4,4
L1_N6e836104_BR_c83016,货运基础设施,L2,L3_Nea54495c,加快机场货运重大项目建设,L3,3
L1_N6e836104_BR_c83016,货运基础设施,L2,L3_Nbccd8d12,增加机场高峰小时容量,L3,3
L1_N6e836104_BR_c83016,货运基础设施,L2,L3_N5c977f92,引育货运基地航空公司,L3,3
L1_N6e836104_BR_c83016,货运基础设施,L2,L3_Nbf6e7bf3,完善货运航线网络,L3,3
L1_N6e836104,基础设施与枢纽,L1,L1_N6e836104_BR_7c2433,物流体系与通达性,L2,2
L1_N6e836104_BR_7c2433,物流体系与通达性,L2,L2_N3d4844b8,提升航空物流通达能力,L3,3
L2_N3d4844b8,提升航空物流通达能力,L3,L3_N965cfc12,提高航线网络全球通达性,L4,4
L2_N3d4844b8,提升航空物流通达能力,L3,L3_N252b74e4,拓展航空物流货源市场,L4,4
L1_N6e836104_BR_7c2433,物流体系与通达性,L2,L2_N60c3ab56,构建多式联运物流体系,L3,3
L2_N60c3ab56,构建多式联运物流体系,L3,L3_N60c3ab56,构建大物流多式联运体系,L3,4
L2_N60c3ab56,构建多式联运物流体系,L3,L3_N85bf292e,电子商务体系支持,L4,4
L2_N60c3ab56,构建多式联运物流体系,L3,L2_N60c3ab56_BR_cc3c6f,电商物流协同,L4,4
L2_N60c3ab56,构建多式联运物流体系,L3,L4_N85bf292e,加快电子商务体系建设,L4,4
L1_N6e836104_BR_7c2433,物流体系与通达性,L2,L2_N4db8aea7,促进中转货量增长,L3,3
L1_N6e836104,基础设施与枢纽,L1,L1_N6e836104_BR_e7aeb0,资源与运营保障,L2,2
L1_N6e836104_BR_e7aeb0,资源与运营保障,L2,L2_Nb22f5139,全面改善枢纽运营环境,L3,3
L1_N6e836104_BR_e7aeb0,资源与运营保障,L2,L2_N5e2fe781,加强空地资源保障,L3,3
L1_N6e836104_BR_e7aeb0,资源与运营保障,L2,L2_Nfeea0571,鼓励新设立国际航空货运转运分拨中心,L3,3
ROOT,ROOT,ROOT,L1_N70e79b29,市场主体与网络,L1,1
L1_N70e79b29,市场主体与网络,L1,L1_N70e79b29_BR_6c0dca,市场主体引育,L2,2
L1_N70e79b29_BR_6c0dca,市场主体引育,L2,L1_N70e79b29_BR_6c0dca_BR_f11806,主体培育,L3,3
L1_N70e79b29_BR_6c0dca_BR_f11806,主体培育,L3,L2_N466127b4,积极培育多元经营主体,L4,4
L1_N70e79b29_BR_6c0dca_BR_f11806,主体培育,L3,L2_N709fdde1,市场主体培育,L4,4
L2_N709fdde1,市场主体培育,L4,L3_N33c0e278,引进培育总部型货代企业,L5,5
L2_N709fdde1,市场主体培育,L4,L3_Nb2d030f0,培育物流龙头企业,L5,5
L2_N709fdde1,市场主体培育,L4,L3_N22dcecc8,引进培育货运龙头企业,L5,5
L2_N709fdde1,市场主体培育,L4,L3_N9a9d4b5c,支持多元市场主体发展,L5,5
L2_N709fdde1,市场主体培育,L4,L3_Nca0d54be,引入培育龙头企业,L5,5
L1_N70e79b29_BR_6c0dca_BR_f11806,主体培育,L3,L2_N3782a8fc,培育关键市场主体,L4,4
L1_N70e79b29_BR_6c0dca_BR_f11806,主体培育,L3,L1_N70e79b29_BR_ab4348,市场主体培育,L4,4
L1_N70e79b29_BR_6c0dca,市场主体引育,L2,L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,3
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L2_N172cd711,集聚优质市场主体,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L2_Naaad89dc,引入关键市场主体,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L1_N70e79b29_BR_946648,货运代理引育,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L1_N70e79b29_BR_710c1d,电商物流引育,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L1_N70e79b29_BR_946648_BR_1416e5,货运代理引育,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L1_N70e79b29_BR_710c1d_BR_aff596,企业引育,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L4_N2d19c279,引育优质货运代理,L4,4
L1_N70e79b29_BR_6c0dca_BR_8b6dc1,主体引育专项,L3,L4_N3bc888c0,引育大型电商物流企业,L4,4
L1_N70e79b29,市场主体与网络,L1,L1_N70e79b29_BR_02c746,市场拓展与推介,L2,2
L1_N70e79b29_BR_02c746,市场拓展与推介,L2,L2_N10f72f08,大力拓展增量市场业务,L3,3
L2_N10f72f08,大力拓展增量市场业务,L3,L3_N3ba23cb1,拓展货运中转服务,L4,4
L2_N10f72f08,大力拓展增量市场业务,L3,L4_Nb4e3c0ce,开展多形式中转业务,L4,4
L2_N10f72f08,大力拓展增量市场业务,L3,L4_N0d91d293,延伸货运服务,L4,4
L1_N70e79b29_BR_02c746,市场拓展与推介,L2,L1_N70e79b29_BR_ab8219,航空市场推介,L3,3
L1_N70e79b29_BR_ab8219,航空市场推介,L3,L1_N70e79b29_BR_ab8219_BR_5cff45,市场推介实施,L4,4
L1_N70e79b29_BR_ab8219,航空市场推介,L3,L4_N162d5723,加强国内外航空货运市场推介,L4,4
L1_N70e79b29_BR_02c746,市场拓展与推介,L2,L1_N70e79b29_BR_23b40d,市场推介支持,L3,3
L1_N70e79b29_BR_23b40d,市场推介支持,L3,L3_Ncc6e46eb,加强市场推介,L4,4
L1_N70e79b29,市场主体与网络,L1,L1_N70e79b29_BR_6c0dca_7ecc,市场主体引育,L2,2
L1_N70e79b29,市场主体与网络,L1,L1_N70e79b29_BR_ec0720,航空货运网络,L2,2
L1_N70e79b29_BR_ec0720,航空货运网络,L2,L1_N70e79b29_BR_c48137,货运航线网络,L3,3
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_N08a346fe,构建国际航线网络,L4,4
L2_N08a346fe,构建国际航线网络,L4,L3_N4c90cbd7,完善国际航空货运航线,L5,5
L3_N4c90cbd7,完善国际航空货运航线,L5,L4_Nb11795db,开通贸易密切城市航线,L6,6
L3_N4c90cbd7,完善国际航空货运航线,L5,L4_N945a64d3,加密货源丰富地区航线,L6,6
L3_N4c90cbd7,完善国际航空货运航线,L5,L4_Na37f8214,引导国际货运航线布局与制造业需求对接,L6,6
L3_N4c90cbd7,完善国际航空货运航线,L5,L4_Nb967aed3,加强与国际机场合作,L6,6
L2_N08a346fe,构建国际航线网络,L4,L3_Nf3b017a0,完善国际货运航线,L5,5
L2_N08a346fe,构建国际航线网络,L4,L3_Nb0e7dd4f,加快数字基建建设,L5,5
L2_N08a346fe,构建国际航线网络,L4,L2_N08a346fe_BR_7db842,国际货运拓展,L5,5
L2_N08a346fe,构建国际航线网络,L4,L4_Nea99104a,做大跨境电商和国际航空货运规模,L5,5
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_N8c3b0cad,构建覆盖全球的货运航线网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_N8e687f9d,构建全球航空货运网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_Nd0b47c6e,构建全球国际航线网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_Nbfebbffa,构建优质航线网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_N926fa20a,优化拓展货运航线网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N74ff71bd,强化行业资源供给,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_Nccfe417c,强化国际航空货运航线供给,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N86ef6403,强化国际货运航班时刻供给,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N9ecfe06c,提升国际货运中转功能,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_Nc594b785,拓展航空货运细分领域,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N65606e29,强化陆运集货网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_N926fa20a_BR_40d163,敏感货物运输,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N303eccc1,打造精品中转航线网络,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L3_N198ad664,积极打造中转航线,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L2_Nbfebbffa_BR_cc65d1,航线网络布局,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L4_Ne0f95b19,推进航空敏感货物运输业务,L4,4
L1_N70e79b29_BR_c48137,货运航线网络,L3,L4_N27d838ea,构建双扇形航线网络布局,L4,4
L1_N70e79b29_BR_ec0720,航空货运网络,L2,L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,3
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N9a2b3002,鼓励航空货运市场主体开行全货机定期航线,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_Nd77a7607,鼓励航空货运市场主体向机场集货,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N9ef25cc0,促进航空货量增长,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N69b20189,鼓励新设立基地货运航空公司,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_Ne4cef915,增加全货机运力,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N13abaa5a,增强货运保障能力,L4,4
L2_N13abaa5a,增强货运保障能力,L4,L3_Nb67e0092,提升国际货运中转功能,L5,5
L2_N13abaa5a,增强货运保障能力,L4,L3_Ned79e54c,强化服务保障能力,L5,5
L2_N13abaa5a,增强货运保障能力,L4,L3_Nd3c80123,加快实施货运通道建设,L5,5
L2_N13abaa5a,增强货运保障能力,L4,L3_Nb328f7fc,货运通道与设施建设,L5,5
L3_Nb328f7fc,货运通道与设施建设,L5,L4_N9596affd,积极推进机场各货运区规划建设,L6,6
L3_Nb328f7fc,货运通道与设施建设,L5,L4_Nc0927f0b,货运基础设施规划建设,L6,6
L3_Nb328f7fc,货运通道与设施建设,L5,L4_N2720f054,补齐机场设施短板,L6,6
L3_Nb328f7fc,货运通道与设施建设,L5,L4_Ndfac356a,规划配置货机位,L6,6
L3_Nb328f7fc,货运通道与设施建设,L5,L4_N5fc249ab,规划配置陆侧道路,L6,6
L3_Nb328f7fc,货运通道与设施建设,L5,L4_N6bfccf65,规划配置空侧道路和配套办公设施,L6,6
L2_N13abaa5a,增强货运保障能力,L4,L2_N13abaa5a_BR_9f83a3,航空货运枢纽建设,L5,5
L2_N13abaa5a,增强货运保障能力,L4,L4_Ne346220c,提升国际航空货运中转与响应能力,L5,5
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N68c2aa93,提升货源组织能力,L4,4
L2_N68c2aa93,提升货源组织能力,L4,L3_Nc56580b0,提升运力供给水平,L5,5
L2_N68c2aa93,提升货源组织能力,L4,L3_N8f8e91cf,提升货源与运力组织能力,L5,5
L2_N68c2aa93,提升货源组织能力,L4,L3_N4da94e7a,拓展货源组织,L5,5
L2_N68c2aa93,提升货源组织能力,L4,L2_N68c2aa93_BR_1322ba,货源拓展,L5,5
L2_N68c2aa93,提升货源组织能力,L4,L4_Na2b3c84a,拓展园区货源,L5,5
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L3_N2d02331f,鼓励市场主体加强货运能力建设,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L3_N571de1aa,招引与合作货运航司,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L3_N29e43ee4,全货运包机基地建设,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_N69b20189_BR_05fd1b,货运航空合作,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L4_N219c5452,成立货运机场联盟,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L4_N61514be4,持续发力全货运包机业务,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L4_N8d005590,健全应急物流包机服务体系,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L3_N94978a33,提升客机腹舱运力,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L2_Ne4cef915_BR_f9b7ac,运力提升措施,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L4_N31c774ef,加强与货运航空公司合作,L4,4
L1_N70e79b29_BR_2ba091,航空货运能力提升,L3,L4_N94978a33,提升客机腹舱货邮量,L4,4
L1_N70e79b29,市场主体与网络,L1,L1_N70e79b29_BR_2ba3df,载体与物流创新,L2,2
L1_N70e79b29_BR_2ba3df,载体与物流创新,L2,L1_N70e79b29_BR_a56c84,产业载体建设,L3,3
L1_N70e79b29_BR_a56c84,产业载体建设,L3,L3_Na1b5b8e4,加快国际航空物流中心载体建设,L4,4
L1_N70e79b29_BR_a56c84,产业载体建设,L3,L3_N595f8c05,逐步完善冷链物流产业,L4,4
L3_N595f8c05,逐步完善冷链物流产业,L4,L4_N7d2d45d8,推进冷链物流基础设施建设,L5,5
L3_N595f8c05,逐步完善冷链物流产业,L4,L4_N1c9477d5,完善冷链物流标准化体系,L5,5
L3_N595f8c05,逐步完善冷链物流产业,L4,L4_N70a840eb,完善冷链物流监管体系,L5,5
L3_N595f8c05,逐步完善冷链物流产业,L4,L4_Nc2b9cf21,完善冷链物流信用体系,L5,5
L1_N70e79b29_BR_2ba3df,载体与物流创新,L2,L1_N70e79b29_BR_167030,物流服务与业态创新,L3,3
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_Nf64b0b03,提高物流服务保障效率,L4,4
L2_Nf64b0b03,提高物流服务保障效率,L4,L3_Nb394347b,优化简化安检流程,L5,5
L2_Nf64b0b03,提高物流服务保障效率,L4,L3_N22d9d7b1,提升口岸通关效率,L5,5
L2_Nf64b0b03,提高物流服务保障效率,L4,L3_N62ed0091,推进智慧物流建设,L5,5
L2_Nf64b0b03,提高物流服务保障效率,L4,L2_Nf64b0b03_BR_2e222e,物流园区建设,L5,5
L2_Nf64b0b03,提高物流服务保障效率,L4,L4_Nbc7f4787,推进保税物流园区建设,L5,5
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_N2f32c229,增强航空物流服务能力,L4,4
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_Nc3c2ff15,丰富多式联运体系,L4,4
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_Ne5a02d74,提升中转联运功能,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_Na7c6a537,多式联运发展推进,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_Nc92a3618,做实空地联运业务,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_N0f65b0c3,丰富货运参与主体,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_Nd290d812,探索开展多式联运,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L3_Nf8bb4ea7,加强集疏运体系建设,L5,5
L2_Nc3c2ff15,丰富多式联运体系,L4,L2_Nc3c2ff15_BR_81365c,多式联运网络建设,L5,5
L2_Nc3c2ff15_BR_81365c,多式联运网络建设,L5,L4_Na35280bb,构建多式联运的物流网络,L6,6
L2_Nc3c2ff15_BR_81365c,多式联运网络建设,L5,L4_N3ac13c17,探索异地货站模式,L6,6
L2_Nc3c2ff15_BR_81365c,多式联运网络建设,L5,L4_Na8ba2f4a,探索开展多式联运,L6,6
L2_Nc3c2ff15_BR_81365c,多式联运网络建设,L5,L4_N6bcc2030,构建高效的航空物流地面集散体系,L6,6
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_Nd39445b0,大力开拓航空物流新兴业态,L4,4
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_N640a2992,优化供应链管理,L4,4
L2_N640a2992,优化供应链管理,L4,L3_N640a2992,进一步优化供应链管理,L5,5
L2_N640a2992,优化供应链管理,L4,L3_Nc97533ee,引进航司提升运力,L5,5
L3_Nc97533ee,引进航司提升运力,L5,L4_Nfdd2124b,加快引进货运航司,L6,6
L3_Nc97533ee,引进航司提升运力,L5,L4_N1b595109,加快引进快递企业航司,L6,6
L3_Nc97533ee,引进航司提升运力,L5,L4_Na5c9f759,以运力发展带动航线布局,L6,6
L3_Nc97533ee,引进航司提升运力,L5,L4_N256f563d,引进货运航司,L6,6
L2_N640a2992,优化供应链管理,L4,L3_N90c2cae1,企业运营环境优化,L5,5
L2_N640a2992,优化供应链管理,L4,L2_N640a2992_BR_258f1f,供应链平台建设,L5,5
L2_N640a2992,优化供应链管理,L4,L2_N640a2992_BR_b1b518,供应链金融支持,L5,5
L2_N640a2992,优化供应链管理,L4,L2_N640a2992_BR_500031,运营环境优化,L5,5
L2_N640a2992,优化供应链管理,L4,L4_N6dc065d5,建立供应链服务平台,L5,5
L2_N640a2992,优化供应链管理,L4,L4_Nf47f4823,推动供应链金融快速发展,L5,5
L2_N640a2992,优化供应链管理,L4,L4_N90c2cae1,优化企业运营软环境,L5,5
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_N0e93e380,制造业融合促进,L4,4
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_N27ba78e2,发展临空经济,L4,4
L2_N27ba78e2,发展临空经济,L4,L3_N27ba78e2,推进临空经济发展,L5,5
L2_N27ba78e2,发展临空经济,L4,L3_Nc3e4e468,推进临空经济发展,L5,5
L2_N27ba78e2,发展临空经济,L4,L3_N82cdf37d,做大空空中转业务,L5,5
L2_N27ba78e2,发展临空经济,L4,L3_N18ada171,积极推进跨境电商发展,L5,5
L2_N27ba78e2,发展临空经济,L4,L3_Nd551ce89,发展航空中转集拼业务,L5,5
L2_N27ba78e2,发展临空经济,L4,L3_Naeed249a,加强招商,L5,5
L2_N27ba78e2,发展临空经济,L4,L2_N27ba78e2_BR_3c6003,航空货运招商,L5,5
L2_N27ba78e2,发展临空经济,L4,L4_Na1c24377,推进跨境电商产业园区建设,L5,5
L2_N27ba78e2,发展临空经济,L4,L4_N5e94e625,推动跨境电商企业数字化转型,L5,5
L2_N27ba78e2,发展临空经济,L4,L4_N6834f90a,推进跨境电商园区建设,L5,5
L2_N27ba78e2,发展临空经济,L4,L4_N8bd3a8a5,加快中转硬件设施配套,L5,5
L2_N27ba78e2,发展临空经济,L4,L4_Nd788e769,加强国内外航空货运招商工作,L5,5
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L3_N0e93e380,制造业融合促进,L4,4
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L2_N0e93e380_BR_1a4623,融合促进措施,L4,4
L1_N70e79b29_BR_167030,物流服务与业态创新,L3,L4_N0e93e380,加强同制造业融合发展,L4,4
ROOT,ROOT,ROOT,L1_N6be998d8,通关与口岸效能,L1,1
L1_N6be998d8,通关与口岸效能,L1,L2_Ne455f9ae,自贸赋能临空产业,L2,2
L2_Ne455f9ae,自贸赋能临空产业,L2,L3_Ne455f9ae,发挥自贸试验区优势赋能临空产业发展,L3,3
L2_Ne455f9ae,自贸赋能临空产业,L2,L3_Nfb48b97b,大通关与自贸区联动,L3,3
L2_Ne455f9ae,自贸赋能临空产业,L2,L2_Ne455f9ae_BR_b74a14,片区联动发展,L3,3
L2_Ne455f9ae,自贸赋能临空产业,L2,L4_Nfb48b97b,强化大通关基地与自贸试验区机场片区联动发展,L3,3
L1_N6be998d8,通关与口岸效能,L1,L1_N6be998d8_BR_8df89b,空港口岸优化,L2,2
L1_N6be998d8_BR_8df89b,空港口岸优化,L2,L3_N7e9ff5f6,提升航空口岸便利化水平,L3,3
L3_N7e9ff5f6,提升航空口岸便利化水平,L3,L4_N9273a814,建立三关合一创新监管模式,L4,4
L3_N7e9ff5f6,提升航空口岸便利化水平,L3,L4_Nfa586cf7,提升空港口岸通关作业电子化水平,L4,4
L1_N6be998d8_BR_8df89b,空港口岸优化,L2,L1_N6be998d8_BR_8df89b_BR_ff1d64,通关效率提升,L3,3
L1_N6be998d8_BR_8df89b,空港口岸优化,L2,L2_N9e86e873,提升空港口岸作业效率,L2,3
L1_N6be998d8_BR_8df89b,空港口岸优化,L2,L2_Nbde783bd,优化航空口岸服务环境,L2,3
L1_N6be998d8_BR_8df89b,空港口岸优化,L2,L2_N0109e16a,优化航空口岸服务功能与环境,L3,3
L2_N0109e16a,优化航空口岸服务功能与环境,L3,L3_N8283673b,丰富航空口岸功能,L4,4
L2_N0109e16a,优化航空口岸服务功能与环境,L3,L3_N53ff6178,提高口岸通关便利化水平,L4,4
L2_N0109e16a,优化航空口岸服务功能与环境,L3,L3_N4b540045,加快大通关基地建设运营,L4,4
