node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category,is_new
L3_Ne42076c0,L3,推进智慧货运高效管理,seed-existing,1,1.0,推进智慧货运高效管理,keep,,False,L1_N6bbea948,
L3_N8283673b,L3,丰富航空口岸功能,seed-existing,1,1.0,丰富航空口岸功能,keep,,False,L1_N6be998d8,
L3_Nce212504,L3,提升口岸通关便利化,seed-existing,1,1.0,提升口岸通关便利化,keep,,False,L1_N6be998d8,
L3_N53ff6178,L3,提高口岸通关便利化水平,seed-existing,1,1.0,提高口岸通关便利化水平,keep,,False,L1_N6be998d8,
L3_N4b540045,L3,加快大通关基地建设运营,seed-existing,1,1.0,加快大通关基地建设运营,keep,,False,L1_N6be998d8,
L3_N1da589d2,L3,推动口岸和综合保税区功能融合,seed-existing,1,1.0,推动口岸和综合保税区功能融合,keep,,False,L1_N6be998d8,
L3_Ne455f9ae,L3,发挥自贸试验区优势赋能临空产业发展,seed-existing,1,1.0,发挥自贸试验区优势赋能临空产业发展,keep,,False,L1_N6be998d8,
L3_N7e9ff5f6,L3,提升航空口岸便利化水平,seed-existing,1,1.0,提升航空口岸便利化水平,keep,,False,L1_N6be998d8,
L3_N08db7b5b,L3,加强基础设施建设,seed-existing,1,1.0,加强基础设施建设,keep,,False,L1_N6e836104,
L3_Nd571b089,L3,提升装备专业化水平,seed-existing,1,1.0,提升装备专业化水平,keep,,False,L1_N6e836104,
L3_Nea54495c,L3,加快机场货运重大项目建设,seed-existing,1,1.0,加快机场货运重大项目建设,keep,,False,L1_N6e836104,
L3_N965cfc12,L3,提高航线网络全球通达性,seed-existing,1,1.0,提高航线网络全球通达性,keep,,False,L1_N6e836104,
L3_Nba68b284,L3,完善机场地区交通集疏运体系,seed-existing,1,1.0,完善机场地区交通集疏运体系,keep,,False,L1_N6e836104,
L3_Nbccd8d12,L3,增加机场高峰小时容量,seed-existing,1,1.0,增加机场高峰小时容量,keep,,False,L1_N6e836104,
L3_N8b934feb,L3,优化客货运航线网络,seed-existing,1,1.0,优化客货运航线网络,keep,,False,L1_N6e836104,
L3_N7c0dd099,L3,强化货运枢纽地位,seed-existing,1,1.0,强化货运枢纽地位,keep,,False,L1_N6e836104,
L3_Nd003c070,L3,加快中国国际航空物流中心载体建设,seed-existing,1,1.0,加快中国国际航空物流中心载体建设,keep,,False,L1_N6e836104,
L3_N252b74e4,L3,拓展航空物流货源市场,seed-existing,1,1.0,拓展航空物流货源市场,keep,,False,L1_N6e836104,
L3_N51765af4,L3,优化航空物流产业生态系统,seed-existing,1,1.0,优化航空物流产业生态系统,keep,,False,L1_N6e836104,
L3_N5c977f92,L3,引育货运基地航空公司,seed-existing,1,1.0,引育货运基地航空公司,keep,,False,L1_N6e836104,
L3_N9ae5e272,L3,统筹一级货站功能,seed-existing,1,1.0,统筹一级货站功能,keep,,False,L1_N6e836104,
L3_Nbf6e7bf3,L3,完善货运航线网络,seed-existing,1,1.0,完善货运航线网络,keep,,False,L1_N6e836104,
L3_N701e7011,L3,优化空空中转业务,seed-existing,1,1.0,优化空空中转业务,keep,,False,L1_N6e836104,
L3_N14530829,L3,增强机场集疏运能力,seed-existing,1,1.0,增强机场集疏运能力,keep,,False,L1_N6e836104,
L3_N60c3ab56,L3,构建大物流多式联运体系,seed-existing,1,1.0,构建大物流多式联运体系,keep,,False,L1_N6e836104,
L3_N06f95f57,L3,系统推进航空客货枢纽建设,seed-existing,1,1.0,系统推进航空客货枢纽建设,keep,,False,L1_N6e836104,
L3_Ne96a4ba3,L3,增强航空货运基础保障能力,seed-existing,1,1.0,增强航空货运基础保障能力,keep,,False,L1_N6e836104,
L3_N4c90cbd7,L3,完善国际航空货运航线,seed-existing,1,1.0,完善国际航空货运航线,keep,,False,L1_N70e79b29,
L3_Nb67e0092,L3,提升国际货运中转功能,seed-existing,1,1.0,提升国际货运中转功能,keep,,False,L1_N70e79b29,
L3_N571de1aa,L3,大力招引货运航空公司,seed-existing,1,1.0,大力招引货运航空公司,keep,,False,L1_N70e79b29,
L3_N33c0e278,L3,引进培育总部型货代企业,seed-existing,1,1.0,引进培育总部型货代企业,keep,,False,L1_N70e79b29,
L3_N303eccc1,L3,打造精品航线网络,seed-existing,1,1.0,打造精品航线网络,keep,,False,L1_N70e79b29,
L3_Ne5a02d74,L3,提升中转联运功能,seed-existing,1,1.0,提升中转联运功能,keep,,False,L1_N70e79b29,
L3_N74ff71bd,L3,强化行业资源供给,seed-existing,1,1.0,强化行业资源供给,keep,,False,L1_N70e79b29,
L3_Nc56580b0,L3,提升运力供给水平,seed-existing,1,1.0,提升运力供给水平,keep,,False,L1_N70e79b29,
L3_Nb2d030f0,L3,培育物流龙头企业,seed-existing,1,1.0,培育物流龙头企业,keep,,False,L1_N70e79b29,
L3_N251661ab,L3,提升货源组织能力,seed-existing,1,1.0,提升货源组织能力,keep,,False,L1_N70e79b29,
L3_N27ba78e2,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N70e79b29,
L3_Ned79e54c,L3,强化服务保障能力,seed-existing,1,1.0,强化服务保障能力,keep,,False,L1_N70e79b29,
L3_Nb394347b,L3,优化简化安检流程,seed-existing,1,1.0,优化简化安检流程,keep,,False,L1_N70e79b29,
L3_N22d9d7b1,L3,提升口岸通关效率,seed-existing,1,1.0,提升口岸通关效率,keep,,False,L1_N70e79b29,
L3_N62ed0091,L3,推进智慧物流建设,seed-existing,1,1.0,推进智慧物流建设,keep,,False,L1_N70e79b29,
L3_Nccfe417c,L3,完善国际航空货运航线,seed-existing,1,1.0,完善国际航空货运航线,keep,,False,L1_N70e79b29,
L3_N9ecfe06c,L3,提升国际货运中转功能,seed-existing,1,1.0,提升国际货运中转功能,keep,,False,L1_N70e79b29,
L3_N86ef6403,L3,加大国际航空货运航班时刻供给,seed-existing,1,1.0,加大国际航空货运航班时刻供给,keep,,False,L1_N70e79b29,
L3_N22dcecc8,L3,引进培育货运龙头企业,seed-existing,1,1.0,引进培育货运龙头企业,keep,,False,L1_N70e79b29,
L3_Nc3e4e468,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N70e79b29,
L3_N9a9d4b5c,L3,支持多元市场主体发展,seed-existing,1,1.0,支持多元市场主体发展,keep,,False,L1_N70e79b29,
L3_N2d02331f,L3,鼓励市场主体加强货运能力建设,seed-existing,1,1.0,鼓励市场主体加强货运能力建设,keep,,False,L1_N70e79b29,
L3_N3ba23cb1,L3,大力发展货运中转业务,seed-existing,1,1.0,大力发展货运中转业务,keep,,False,L1_N70e79b29,
L3_Nc594b785,L3,拓展航空货运细分领域,seed-existing,1,1.0,拓展航空货运细分领域,keep,,False,L1_N70e79b29,
L3_Na7c6a537,L3,推动多式联运发展,seed-existing,1,1.0,推动多式联运发展,keep,,False,L1_N70e79b29,
L3_Na1b5b8e4,L3,加快国际航空物流中心载体建设,seed-existing,1,1.0,加快国际航空物流中心载体建设,keep,,False,L1_N70e79b29,
L3_Nd3c80123,L3,加快实施货运通道建设,seed-existing,1,1.0,加快实施货运通道建设,keep,,False,L1_N70e79b29,
L3_N82cdf37d,L3,做大空空中转业务,seed-existing,1,1.0,做大空空中转业务,keep,,False,L1_N70e79b29,
L3_Nc92a3618,L3,做实空地联运业务,seed-existing,1,1.0,做实空地联运业务,keep,,False,L1_N70e79b29,
L3_N595f8c05,L3,逐步完善冷链物流产业,seed-existing,1,1.0,逐步完善冷链物流产业,keep,,False,L1_N70e79b29,
L3_N18ada171,L3,积极推进跨境电商发展,seed-existing,1,1.0,积极推进跨境电商发展,keep,,False,L1_N70e79b29,
L3_Nd551ce89,L3,发展航空中转集拼业务,seed-existing,1,1.0,发展航空中转集拼业务,keep,,False,L1_N70e79b29,
L3_N29e43ee4,L3,建设货运包机运营基地,seed-existing,1,1.0,建设货运包机运营基地,keep,,False,L1_N70e79b29,
L3_N640a2992,L3,进一步优化供应链管理,seed-existing,1,1.0,进一步优化供应链管理,keep,,False,L1_N70e79b29,
L3_Nf3b017a0,L3,完善国际货运航线,seed-existing,1,1.0,完善国际货运航线,keep,,False,L1_N70e79b29,
L3_N198ad664,L3,积极打造中转航线,seed-existing,1,1.0,积极打造中转航线,keep,,False,L1_N70e79b29,
L3_Nc97533ee,L3,引进航司提升运力,seed-existing,1,1.0,引进航司提升运力,keep,,False,L1_N70e79b29,
L3_Nb328f7fc,L3,完善货运设施功能,merge-high,2,0.9,完善货运设施功能,keep,,False,L1_N70e79b29,
L3_Nb0e7dd4f,L3,加快数字基建建设,seed-existing,1,1.0,加快数字基建建设,keep,,False,L1_N70e79b29,
L3_N0f65b0c3,L3,丰富货运参与主体,seed-existing,1,1.0,丰富货运参与主体,keep,,False,L1_N70e79b29,
L3_N65606e29,L3,强化陆运集货网络,seed-existing,1,1.0,强化陆运集货网络,keep,,False,L1_N70e79b29,
L3_Nd290d812,L3,探索开展多式联运,seed-existing,1,1.0,探索开展多式联运,keep,,False,L1_N70e79b29,
L3_Nca0d54be,L3,引入培育龙头企业,seed-existing,1,1.0,引入培育龙头企业,keep,,False,L1_N70e79b29,
L3_N071b8d1d,L3,强化货源组织调度,seed-existing,1,1.0,强化货源组织调度,keep,,False,L1_N70e79b29,
L3_Nf8bb4ea7,L3,加强集疏运体系建设,seed-existing,1,1.0,加强集疏运体系建设,keep,,False,L1_N70e79b29,
L3_Ncc6e46eb,L3,加强市场推介,seed-existing,1,1.0,加强市场推介,keep,,False,L1_N70e79b29,
L3_Naeed249a,L3,加强招商,seed-existing,1,1.0,加强招商,keep,,False,L1_N70e79b29,
L3_N4da94e7a,L3,大力拓展货源,seed-existing,1,1.0,大力拓展货源,keep,,False,L1_N70e79b29,
L3_Nef0fcc52,L3,出台新一轮专项扶持政策,seed-existing,1,1.0,出台新一轮专项扶持政策,keep,,False,L1_N762e6689,
L3_Nb3d3c087,L3,打造高效便利的口岸营商环境,seed-existing,1,1.0,打造高效便利的口岸营商环境,keep,,False,L1_N762e6689,
L3_N578f3b8a,L3,提升跨境电子商务国际货运服务能力,seed-existing,1,1.0,提升跨境电子商务国际货运服务能力,keep,,False,L1_N762e6689,
L3_N9c47a867,L3,推进智慧物流建设,seed-existing,1,1.0,推进智慧物流建设,keep,,False,L1_N762e6689,
L3_N5383b7aa,L3,创新发展管理模式,seed-existing,1,1.0,创新发展管理模式,keep,,False,L1_N762e6689,
L3_N55fb6992,L3,加强规划顶层设计,seed-existing,1,1.0,加强规划顶层设计,keep,,False,L1_N762e6689,
L3_N3810ecfd,L3,推动区域机场合作,seed-existing,1,1.0,推动区域机场合作,keep,,False,L1_N762e6689,
L3_Na04441bf,L3,争取民航国家政策支持,seed-existing,1,1.0,争取民航国家政策支持,keep,,False,L1_N762e6689,
L3_Nf8276134,L3,争取海关国家政策支持,seed-existing,1,1.0,争取海关国家政策支持,keep,,False,L1_N762e6689,
L3_Na6c4ae61,L3,给予财政土地人才等地方政策支持,seed-existing,1,1.0,给予财政土地人才等地方政策支持,keep,,False,L1_N762e6689,
L3_N4888066d,L3,研究制订航空枢纽建设专项扶持办法加强对航空货运发展方面的支持,seed-existing,1,1.0,研究制订航空枢纽建设专项扶持办法加强对航空货运发展方面的支持,keep,,False,L1_N762e6689,
L3_Nb28e82d6,L3,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,seed-existing,1,1.0,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,keep,,False,L1_N762e6689,
L3_Ne78d3c45,L3,开展航空货运总体规划研究,seed-existing,1,1.0,开展航空货运总体规划研究,keep,,False,L1_N762e6689,
L3_N55664f5d,L3,开展航空货运发展专项研究,seed-existing,1,1.0,开展航空货运发展专项研究,keep,,False,L1_N762e6689,
L3_N0362ceea,L3,加快完善口岸功能,seed-existing,1,1.0,加快完善口岸功能,keep,,False,L1_N762e6689,
L3_Ne7b47d1e,L3,优化口岸营商环境,seed-existing,1,1.0,优化口岸营商环境,keep,,False,L1_N762e6689,
L3_N888d7345,L3,提升通关服务效率,seed-existing,1,1.0,提升通关服务效率,keep,,False,L1_N762e6689,
L3_N832c0c49,L3,建设跨境电商服务平台,classify-llm,1,0.85,建设跨境电商服务平台,keep,候选父节点均聚焦物流或园区联动，与‘中国东盟跨境电商综合服务平台’的平台建设主题不匹配；需新建聚焦跨境电商服务的父节点,False,L1_N52f6895e,True
L3_Na35a474b,L3,引入战略投资,classify-llm,1,0.85,引入战略投资,keep,候选父节点均聚焦智慧平台或运营管理，与'引入战略投资者'这一资本运作行为语义不匹配；需新建更贴合的父节点,False,L1_N6bbea948,True
