t5_node_id,unit_text,source_snippet,anchor_parent_id,source_doc_id,source_block_range,parent_title_text
T5_DF0459_00024_06,深化货运与物流龙头合作,支持各货运航空公司与快递、物流龙头企业深化合作,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_07,开发中转联运产品,共同开发中转联运产品,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_08,拓展中转集拼业务,拓展中转集拼业务,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_09,打造虚拟承运人模式,支持货运包机企业打造“虚拟承运人”,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_10,强化一站式物流服务,强化运力采购、运行保障、舱位分销和“一站式”物流服务能力,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_11,探索货运航司资本合作,积极探索通过股权投资、飞机湿租和托管等方式，与货运航空公司开展资本合作,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0459_00024_12,增强运力自主可控,强化运力自主可控,DF0459_00023_01,DF0459,24-24,1.提升运力供给水平。
T5_DF0542_00011_01,新建机场货站工程,加快推进杭州机场东区国际货站新建工程、嘉兴机场新建工程、义乌机场新货站工程,DF0542_00010_01,DF0542,11月11日,（一）加快基础设施建设。
T5_DF0542_00011_02,建设航空冷链设施,加快杭州、宁波机场冷链物流设施建设，打造长三角重要航空冷链基地,DF0542_00010_01,DF0542,11月11日,（一）加快基础设施建设。
T5_DF0542_00011_03,扩容升级国际货站,加快宁波、温州机场国际货站扩容升级,DF0542_00010_01,DF0542,11月11日,（一）加快基础设施建设。
T5_DF0542_00011_04,优化货运区域布局,扩大各口岸机场货运区域进深尺度，合理区分全货机和客机腹舱带货区,DF0542_00010_01,DF0542,11月11日,（一）加快基础设施建设。
T5_DF0542_00025_01,引进国际货代企业,积极争取引进全球领先的航空货运代理企业,DF0542_00024_01,DF0542,25-25,（一）引进培育货运龙头企业。
T5_DF0542_00025_02,培育本土货运航司,培育本土航空货运企业,DF0542_00024_01,DF0542,25-25,（一）引进培育货运龙头企业。
T5_DF0542_00025_03,支持航司机队扩张,支持货运航空公司壮大机队规模,DF0542_00024_01,DF0542,25-25,（一）引进培育货运龙头企业。
T5_DF0542_00025_04,拓展全球货运业务,支持基地航空公司拓展全球货运业务,DF0542_00024_01,DF0542,25-25,（一）引进培育货运龙头企业。
T5_DF0542_00025_05,鼓励参与货站运营,鼓励航空货运企业积极参与机场货站的规划、建设与运营,DF0542_00024_01,DF0542,25-25,（一）引进培育货运龙头企业。
T5_DF0865_00026_01,推进空港物流枢纽建设,加快推进上海空港型国家物流枢纽建设。,DF0865_00025_01,DF0865,26-26,1.加强规划顶层设计。
T5_DF0865_00026_02,修编机场总体规划,推动机场总体规划修编，优化机场货运设施空间功能布局,DF0865_00025_01,DF0865,26-26,1.加强规划顶层设计。
T5_DF0865_00026_03,优化货运设施布局,优化机场货运设施空间功能布局,DF0865_00025_01,DF0865,26-26,1.加强规划顶层设计。
T5_DF0865_00026_04,规划建设新货运区,适时推动浦东国际机场新东区、新南区货站等规划建设。,DF0865_00025_01,DF0865,26-26,1.加强规划顶层设计。
T5_DF0865_00026_05,加强规划衔接协同,加强航空枢纽相关规划与国民经济和社会发展、国土空间、产业、物流、交通等方面规划的衔接。,DF0865_00025_01,DF0865,26-26,1.加强规划顶层设计。
T5_DF0865_00047_01,建设异地货站,加快规划建设面向长三角、服务全国的 异地货站,DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF0865_00047_02,完善卡车航班体系,持续完善卡车航班转运体系,DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF0865_00047_03,发展空铁联运,推动空铁联运业务发展,DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF0865_00047_04,探索空海联运,探索空海联运新模式,DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF0865_00047_05,拓展航空物流一单制,"拓展航空物流""一单制""",DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF0865_00047_06,试点无人机配送,开展无人机物流配送 试点,DF0865_00046_01,DF0865,47-47,10.推动多式联运发展。
T5_DF1176_00047_01,加密国内货机航线,鼓励航空公司新开加密国内全货机航线航班,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1176_00047_02,做强日韩东南亚航线,做强日韩、东南亚航线,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1176_00047_03,拓展一带一路货运航线,拓展“一带一路”沿线国家和地区航线,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1176_00047_04,开通全球货运枢纽航线,支持开通欧洲、北美等全球主要航空货运枢纽机场航线航班,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1176_00047_05,引进货运包机运营,积极引进全货运包机和客改货包机,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1176_00047_06,建设区域货运包机基地,逐步推动天津成为京津冀区域货运包机运营基地,DF1176_00046_01,DF1176,47-47,10．优化客货运航线网络。
T5_DF1185_00065_01,引育货运基地航司,加快引进国内外货运航空公司在天津设立基地,DF1185_00064_01,DF1185,65-65,（一）引育货运基地航空公司
T5_DF1185_00065_02,开通全货机航线,开通国内外全货机航线，特别是连通RCEP国家和地区的货运航线，争取开通欧美航线,DF1185_00064_01,DF1185,65-65,（一）引育货运基地航空公司
T5_DF1185_00065_03,优化货运机队结构,适时逐步淘汰小型飞机，用中大型飞机提高货运运力,DF1185_00064_01,DF1185,65-65,（一）引育货运基地航空公司
T5_DF1185_00065_04,推动航司与物流商合作,与大型物流商、快递企业、货运代理企业开展合作,DF1185_00064_01,DF1185,65-65,（一）引育货运基地航空公司
T5_DF1185_00086_01,强化冷链温控监管,加强对冷链各环节温控记录和产品品质的监督和抽查,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_02,落实冷链主体责任,督促食品生产经营者落实主体责任，严格执行国家冷链物流强制性标准和服务规范,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_03,构建冷链溯源体系,积极构建冷链物流产品溯源体系,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_04,建设冷链信用体系,加快建设行业信用体系，支持第三方信用评价机构拓展冷链物流征信业务,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_05,健全冷链协调机制,建立工作协调机制，加强对冷链物流行业的指导、管理和服务,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_06,优化冷链设施布局,做好冷链物流基础设施的布局规划,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00086_07,强化部门协同联动,强化部门间协同联动，为冷链物流行业发展创造良好环境,DF1185_00085_01,DF1185,86-86,完善冷链物流监管、溯源与信用体系
T5_DF1185_00105_01,完善应急物流预案,完善突发事件应急物流保障预案,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00105_02,建立应急企业名单,建立应急物流保障重点企业名单,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00105_03,建设平急两用物流基地,改造建设一批平时服务、急时应急的物流基地,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00105_04,储备应急物流能力,做好运输、仓储、配送等物流能力储备,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00105_05,推进应急救援中心建设,加快推进国家华北区域应急救援中心和应急物流枢纽建设,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00105_06,完善应急包机机制,完善天津滨海国际机场应急物流包机运营机制,DF1185_00104_01,DF1185,105-105,健全应急物流包机服务体系。
T5_DF1185_00126_01,建设大通关信息平台,建设大通关信息服务平台,DF1185_00125_01,DF1185,126-126,搭建通关申报“单一窗口”平台。
T5_DF1185_00126_02,搭建口岸通关共享平台,搭建供政府、监管部门、各类企业共享的口岸通关作业平台,DF1185_00125_01,DF1185,126-126,搭建通关申报“单一窗口”平台。
T5_DF1185_00126_03,推动信息互换监管互认,形成各主体之间的信息互换、监管互认、执法互助的“单一窗口”,DF1185_00125_01,DF1185,126-126,搭建通关申报“单一窗口”平台。
T5_DF1185_00126_04,优化通关流程为并联式,将传统的“串联式”口岸通关流程改变为一次性、同步化的“并联式”流程,DF1185_00125_01,DF1185,126-126,搭建通关申报“单一窗口”平台。
T5_DF1322_00022_01,构建区域高速通道,"加速构建“两横三纵""区域高速公路通道",DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_02,谋划快速路网建设,加快三横五纵快速路网建设谋划工作,DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_03,衔接高铁与机场,争取合康高铁、合武高铁连接合肥新桥机场,DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_04,引入货运铁路专线,推进合肥市货运铁路外绕线岗集货运站引入空港货运铁路专用线,DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_05,串联空铁公货运节点,串联机场货运、产业物流和新桥运河港口，形成空、铁、公多式联运的空港货运系统格局,DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_06,建设卡车航班体系,"以“卡车航班""为重点，建设合肥机场辐射中短程市场的地面物流集疏体系",DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_07,探索航空高铁联运,"探索“航空+高铁""联运货运发展模式",DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1322_00022_08,拓展快件物流网络,拓展辐射全国的快件物流网络,DF1322_00021_01,DF1322,22-22,（五）完善多式联运体系
T5_DF1759_00084_01,优化货运区布局,合理布局南宁机场货运区，科学规划各货运区功能,DF1759_00083_01,DF1759,84-84,（二）增强货运保障能力。
T5_DF1759_00084_02,提升货运保障能力,不断提升南宁机场航空货运保障能力和货运信息化水平,DF1759_00083_01,DF1759,84-84,（二）增强货运保障能力。
T5_DF1759_00084_03,推进四型机场建设,以新时期'四型机场'为目标,DF1759_00083_01,DF1759,84-84,（二）增强货运保障能力。
T5_DF1759_00132_01,探索多式联运模式,加快探索陆海空铁多种方式联动,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_02,引入卡车航班运营,引入卡车航班在机场运营,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_03,整合运力资源,重点整合运力资源,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_04,吸引物流整合商,吸引物流整合商开展枢纽运作,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_05,衔接陆海空运输,加大陆海空衔接的现代综合运输体系建设,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_06,提升货运集疏能力,提升货运中转和集疏能力,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1759_00132_07,推动软硬件协同,实现软硬件协同发展,DF1759_00131_01,DF1759,132-132,借鉴先进经验，探索南宁机场开展多式联运。
T5_DF1898_00035_01,推广客机腹舱带货,积极引导航空公司、物流公司采用窄体机或宽体机腹舱带货及客改货航空货运模式,DF1898_00034_01,DF1898,35-36,三是优化货物运输组织。
T5_DF1898_00035_02,发展全货机航线,逐步发展成全货机航线。除京东货航全货机航线外，2023—2024年再新开、加密4条国内国际全货机航线，到2025年全货机航线数量突破10条,DF1898_00034_01,DF1898,35-36,三是优化货物运输组织。
T5_DF1898_00035_03,推进异地货站模式,探索推进异地货站模式，将国际货运航线产品推介到园区，将货站收运服务前置到企业,DF1898_00034_01,DF1898,35-36,三是优化货物运输组织。
T5_DF1898_00035_04,鼓励企业包机运输,鼓励发展2—3家生产型企业与航空公司开展包机业务，提升点对点货物运输效率,DF1898_00034_01,DF1898,35-36,三是优化货物运输组织。
T5_DF2583_00018_01,打造超级承运人,研究打造超级承运人。,DF2583_00017_01,DF2583,18-18,2.依托主要运营人推进客货枢纽建设。
T5_DF2583_00018_02,支持航司枢纽化运营,支持航空公司在海南枢纽化运营,DF2583_00017_01,DF2583,18-18,2.依托主要运营人推进客货枢纽建设。
T5_DF2583_00018_03,开通第五第七航权货运航线,因地制宜开通国外至海南的第五、第七航权货运航线,DF2583_00017_01,DF2583,18-18,2.依托主要运营人推进客货枢纽建设。
T5_DF2583_00018_04,构建枢纽航线网络,构建枢纽化航线网络。,DF2583_00017_01,DF2583,18-18,2.依托主要运营人推进客货枢纽建设。
T5_DF2583_00024_01,争取航班时刻支持,协助航空公司争取航班时刻配置支持。,DF2583_00023_01,DF2583,24-24,5.加快补齐核心资源短板。
T5_DF2583_00024_02,推动机场时刻扩容,有序推动三亚凤凰机场时刻扩容，加强相关要素保障，2027 年启动高峰小时容量达到 29+1 架次评估工作。,DF2583_00023_01,DF2583,24-24,5.加快补齐核心资源短板。
T5_DF2583_00024_03,制定空域统筹规划,按时间节点加快制定《海南地区空域统筹规划》，构建与海南机场规划发展相匹配的空域条件。,DF2583_00023_01,DF2583,24-24,5.加快补齐核心资源短板。
T5_DF2583_00057_01,优化航空货运奖励政策,持续落实《海南省促进航空货运发展奖励办法》，适时开展优化研究。,DF2583_00056_01,DF2583,57-57,"19.强化促进“两个网络""“两个枢纽""发展政策支持。"
T5_DF2583_00057_02,属地制定货运支持办法,海口市、三亚市、琼海市、东方市各属地政府发挥谋划招商服务主体责任，结合实际适时研究支持航空货运发展相关办法。,DF2583_00056_01,DF2583,57-57,"19.强化促进“两个网络""“两个枢纽""发展政策支持。"
T5_DF2583_00057_03,设立境外客运支持资金,设立国际旅游消费中心建设和境外客运发展支持资金，支持完善境外客运航线网络，提升腹舱载运能力。,DF2583_00056_01,DF2583,57-57,"19.强化促进“两个网络""“两个枢纽""发展政策支持。"
