sample_id,source_sample_id,doc_id,block_idx,final_level,final_level_origin,raw_title,path_text,cleaned_title,skip_reason,clean_source,variant_idx,llm_status,llm_attempts,num_variants_per_source,is_t0,doc_granularity,calibration_confidence,calibrated_level
DF0403_00019_03,DF0403_00019,DF0403,19,H1,H1,二、鼓励航空货运市场主体向成都机场集货，促进航空货量、中转货量增长,,促进中转货量增长,,llm,3,ok,1,3,False,meso,0.95,T2
DF0403_00027_01,DF0403_00027,DF0403,27,H1,H1,三、鼓励在成都新设立基地货运航空公司，增加全货机运力,,鼓励新设立基地货运航空公司,,llm,1,ok,1,2,False,meso,0.95,T2
DF0403_00027_02,DF0403_00027,DF0403,27,H1,H1,三、鼓励在成都新设立基地货运航空公司，增加全货机运力,,增加全货机运力,,llm,2,ok,1,2,False,meso,0.95,T2
DF0403_00032_01,DF0403_00032,DF0403,32,H1,H1,四、鼓励在成都新设立国际航空货运转运（分拨）中心，提升航空货运枢纽集疏运能力,,鼓励新设立国际航空货运转运分拨中心,,llm,1,ok,1,2,False,meso,0.95,T2
DF0403_00032_02,DF0403_00032,DF0403,32,H1,H1,四、鼓励在成都新设立国际航空货运转运（分拨）中心，提升航空货运枢纽集疏运能力,,提升航空货运枢纽集疏运能力,,llm,2,ok,1,2,False,meso,0.95,T2
DF0403_00038_01,DF0403_00038,DF0403,38,H1,H1,五、提升空港口岸作业效率，减免口岸及货站操作处置费用,,提升空港口岸作业效率,,llm,1,ok,1,2,False,meso,0.95,T2
DF0403_00038_02,DF0403_00038,DF0403,38,H1,H1,五、提升空港口岸作业效率，减免口岸及货站操作处置费用,,减免口岸及货站操作处置费用,,llm,2,ok,1,2,False,meso,0.95,T2
DF0459_00010_01,DF0459_00010,DF0459,10,H1,H2,（一）提升货运设施保障能力。,,提升货运设施保障能力,,llm,1,ok,1,1,False,meso,0.92,T2
DF0459_00011_01,DF0459_00011,DF0459,11,H2,H3,1.加强基础设施建设。,（一）提升货运设施保障能力。,加强基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00013_01,DF0459_00013,DF0459,13,H2,H3,2.提升装备专业化水平。,（一）提升货运设施保障能力。,提升装备专业化水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00015_01,DF0459_00015,DF0459,15,H1,H2,（二）构建全球航空货运网络。,,构建全球航空货运网络,,llm,1,ok,1,1,False,meso,0.92,T2
DF0459_00016_01,DF0459_00016,DF0459,16,H2,H3,1.打造精品航线网络。,（二）构建全球航空货运网络。,打造精品航线网络,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00018_01,DF0459_00018,DF0459,18,H2,H3,2.提升中转联运功能。,（二）构建全球航空货运网络。,提升中转联运功能,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00020_01,DF0459_00020,DF0459,20,H2,H3,3.强化行业资源供给。,（二）构建全球航空货运网络。,强化行业资源供给,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00022_01,DF0459_00022,DF0459,22,H1,H2,（三）增强市场培育组织能力。,,增强市场培育组织能力,,llm,1,ok,1,1,False,meso,0.92,T2
DF0459_00023_01,DF0459_00023,DF0459,23,H2,H3,1.提升运力供给水平。,（三）增强市场培育组织能力。,提升运力供给水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00025_01,DF0459_00025,DF0459,25,H2,H3,2.培育物流龙头企业。,（三）增强市场培育组织能力。,培育物流龙头企业,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00027_01,DF0459_00027,DF0459,27,H2,H3,3.提升货源组织能力。,（三）增强市场培育组织能力。,提升货源组织能力,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00029_01,DF0459_00029,DF0459,29,H2,H3,4.推进临空经济发展。,（三）增强市场培育组织能力。,推进临空经济发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00031_01,DF0459_00031,DF0459,31,H1,H2,（四）提高物流服务保障效率。,,提高物流服务保障效率,,llm,1,ok,1,1,False,meso,0.92,T2
DF0459_00032_01,DF0459_00032,DF0459,32,H2,H3,1.强化服务保障能力。,（四）提高物流服务保障效率。,强化服务保障能力,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00034_01,DF0459_00034,DF0459,34,H2,H3,2.优化简化安检流程。,（四）提高物流服务保障效率。,优化简化安检流程,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00036_01,DF0459_00036,DF0459,36,H2,H3,3.提升口岸通关效率。,（四）提高物流服务保障效率。,提升口岸通关效率,,llm,1,ok,1,1,False,meso,0.92,T3
DF0459_00038_01,DF0459_00038,DF0459,38,H2,H3,4.推进智慧物流建设。,（四）提高物流服务保障效率。,推进智慧物流建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00009_01,DF0542_00009,DF0542,9,H1,H1,二、强化基础能力保障,,强化基础能力保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0542_00010_01,DF0542_00010,DF0542,10,H2,H2,（一）加快基础设施建设。,二、强化基础能力保障,加快基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00012_01,DF0542_00012,DF0542,12,H2,H2,（二）推进集疏运体系建设。,二、强化基础能力保障,推进集疏运体系建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00014_01,DF0542_00014,DF0542,14,H2,H2,（三）提升设施装备供给水平。,二、强化基础能力保障,提升设施装备供给水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00016_01,DF0542_00016,DF0542,16,H1,H1,三、构建全球国际航线网络,,构建全球国际航线网络,,llm,1,ok,1,1,False,meso,0.92,T2
DF0542_00017_01,DF0542_00017,DF0542,17,H2,H2,（一）完善国际航空货运航线。,三、构建全球国际航线网络,完善国际航空货运航线,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00019_01,DF0542_00019,DF0542,19,H2,H2,（二）提升国际货运中转功能。,三、构建全球国际航线网络,提升国际货运中转功能,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00021_01,DF0542_00021,DF0542,21,H2,H2,（三）加大国际航空货运航班时刻供给。,三、构建全球国际航线网络,加大国际航空货运航班时刻供给,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00023_01,DF0542_00023,DF0542,23,H1,H1,四、强化市场培育,,强化市场培育,,llm,1,ok,1,1,False,meso,0.92,T2
DF0542_00024_01,DF0542_00024,DF0542,24,H2,H2,（一）引进培育货运龙头企业。,四、强化市场培育,引进培育货运龙头企业,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00026_01,DF0542_00026,DF0542,26,H2,H2,（二）推进临空经济发展。,四、强化市场培育,推进临空经济发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00028_01,DF0542_00028,DF0542,28,H1,H1,五、提升服务管理水平,,提升服务管理水平,,llm,1,ok,1,1,False,meso,0.92,T2
DF0542_00029_01,DF0542_00029,DF0542,29,H2,H2,（一）打造高效便利的口岸营商环境。,五、提升服务管理水平,打造高效便利的口岸营商环境,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00031_01,DF0542_00031,DF0542,31,H2,H2,（二）提升跨境电子商务国际货运服务能力。,五、提升服务管理水平,提升跨境电子商务国际货运服务能力,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00033_01,DF0542_00033,DF0542,33,H2,H2,（三）推进智慧物流建设。,五、提升服务管理水平,推进智慧物流建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0542_00035_01,DF0542_00035,DF0542,35,H2,H2,（四）创新发展管理模式。,五、提升服务管理水平,创新发展管理模式,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00024_01,DF0865_00024,DF0865,24,H1,H2,（一）强化战略统筹引领,,强化战略统筹引领,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00025_01,DF0865_00025,DF0865,25,H2,H3,1.加强规划顶层设计。,（一）强化战略统筹引领,加强规划顶层设计,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00027_01,DF0865_00027,DF0865,27,H2,H3,2.推动区域机场合作。,（一）强化战略统筹引领,推动区域机场合作,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00029_01,DF0865_00029,DF0865,29,H1,H2,（二）加强空地资源保障,,加强空地资源保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00030_01,DF0865_00030,DF0865,30,H2,H3,3.加快机场货运重大项目建设。,（二）加强空地资源保障,加快机场货运重大项目建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00032_01,DF0865_00032,DF0865,32,H2,H3,4.提高航线网络全球通达性。,（二）加强空地资源保障,提高航线网络全球通达性,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00034_01,DF0865_00034,DF0865,34,H2,H3,5.完善机场地区交通集疏运体系。,（二）加强空地资源保障,完善机场地区交通集疏运体系,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00036_01,DF0865_00036,DF0865,36,H1,H2,（三）集聚优质市场主体,,集聚优质市场主体,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00037_01,DF0865_00037,DF0865,37,H2,H3,6.支持多元市场主体在沪发展。,（三）集聚优质市场主体,支持多元市场主体发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00039_01,DF0865_00039,DF0865,39,H2,H3,7.鼓励市场主体加强货运能力建设。,（三）集聚优质市场主体,鼓励市场主体加强货运能力建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00041_01,DF0865_00041,DF0865,41,H1,H2,（四）拓展增量市场业务,,拓展增量市场业务,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00042_01,DF0865_00042,DF0865,42,H2,H3,8.大力发展货运中转业务。,（四）拓展增量市场业务,大力发展货运中转业务,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00044_01,DF0865_00044,DF0865,44,H2,H3,9.拓展航空货运细分领域。,（四）拓展增量市场业务,拓展航空货运细分领域,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00046_01,DF0865_00046,DF0865,46,H2,H3,10.推动多式联运发展。,（四）拓展增量市场业务,推动多式联运发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00048_01,DF0865_00048,DF0865,48,H1,H2,（五）营造宜商宜业环境,,营造宜商宜业环境,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00049_01,DF0865_00049,DF0865,49,H2,H3,11.促进信息资源互联共享。,（五）营造宜商宜业环境,促进信息资源互联共享,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00051_01,DF0865_00051,DF0865,51,H2,H3,12.优化简化货物安检流程。,（五）营造宜商宜业环境,优化简化货物安检流程,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00053_01,DF0865_00053,DF0865,53,H2,H3,13.提升口岸通关便利化水平。,（五）营造宜商宜业环境,提升口岸通关便利化水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00055_01,DF0865_00055,DF0865,55,H1,H2,（六）推动区港联动发展,,推动区港联动发展,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00056_01,DF0865_00056,DF0865,56,H2,H3,14.加强浦东国际机场与周边区域联动。,（六）推动区港联动发展,加强国际机场与周边区域联动,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00058_01,DF0865_00058,DF0865,58,H2,H3,15.加强与重点产业园区对接。,（六）推动区港联动发展,加强与重点产业园区对接,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00060_01,DF0865_00060,DF0865,60,H2,H3,16.促进航空货运相关产业发展。,（六）推动区港联动发展,促进航空货运相关产业发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00062_01,DF0865_00062,DF0865,62,H1,H2,（七）提高智慧韧性水平,,提高智慧韧性水平,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00063_01,DF0865_00063,DF0865,63,H2,H3,17.提升航空货运智慧化水平。,（七）提高智慧韧性水平,提升航空货运智慧化水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00065_01,DF0865_00065,DF0865,65,H2,H3,18.提升航空货运安全韧性水平。,（七）提高智慧韧性水平,提升航空货运安全韧性水平,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00067_01,DF0865_00067,DF0865,67,H2,H3,19.推动航空货运绿色低碳发展。,（七）提高智慧韧性水平,推动航空货运绿色低碳发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF0865_00069_01,DF0865_00069,DF0865,69,H1,H2,（八）加强政策协同创新,,加强政策协同创新,,llm,1,ok,1,1,False,meso,0.92,T2
DF0865_00070_01,DF0865_00070,DF0865,70,H2,H3,20.争取民航、海关等国家政策支持。,（八）加强政策协同创新,争取民航国家政策支持,,llm,1,ok,1,2,False,meso,0.92,T3
DF0865_00070_02,DF0865_00070,DF0865,70,H2,H3,20.争取民航、海关等国家政策支持。,（八）加强政策协同创新,争取海关国家政策支持,,llm,2,ok,1,2,False,meso,0.92,T3
DF0865_00072_01,DF0865_00072,DF0865,72,H2,H3,21.给予财政、土地、人才等地方政策支持。研究制订新一轮航 空枢纽建设专项扶持办法，加强对航空货运发展方面的支持。严格 落实集约节约用地原则，整合盘活低效闲置土地资源，强化对航空 货运枢纽建设项目用地支持。加强航空货运人才队伍建设，鼓励科 研机构搭建研究平台，发挥决策咨询和智囊作用。（责任单位：市 发展改革委、市财政局、市规划资源局、市交通委，机场集团),（八）加强政策协同创新,给予财政土地人才等地方政策支持,,llm,1,ok,1,3,False,meso,0.92,T3
DF0865_00072_02,DF0865_00072,DF0865,72,H2,H3,21.给予财政、土地、人才等地方政策支持。研究制订新一轮航 空枢纽建设专项扶持办法，加强对航空货运发展方面的支持。严格 落实集约节约用地原则，整合盘活低效闲置土地资源，强化对航空 货运枢纽建设项目用地支持。加强航空货运人才队伍建设，鼓励科 研机构搭建研究平台，发挥决策咨询和智囊作用。（责任单位：市 发展改革委、市财政局、市规划资源局、市交通委，机场集团),（八）加强政策协同创新,研究制订航空枢纽建设专项扶持办法加强对航空货运发展方面的支持,,llm,2,ok,1,3,False,meso,0.92,T3
DF0865_00072_03,DF0865_00072,DF0865,72,H2,H3,21.给予财政、土地、人才等地方政策支持。研究制订新一轮航 空枢纽建设专项扶持办法，加强对航空货运发展方面的支持。严格 落实集约节约用地原则，整合盘活低效闲置土地资源，强化对航空 货运枢纽建设项目用地支持。加强航空货运人才队伍建设，鼓励科 研机构搭建研究平台，发挥决策咨询和智囊作用。（责任单位：市 发展改革委、市财政局、市规划资源局、市交通委，机场集团),（八）加强政策协同创新,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,,llm,3,ok,1,3,False,meso,0.92,T3
DF1176_00023_01,DF1176_00023,DF1176,23,H1,H2,（一）聚集航空物流资源要素,,聚集航空物流资源要素,,llm,1,ok,1,1,False,meso,0.92,T2
DF1176_00024_01,DF1176_00024,DF1176,24,H2,H3,1．助力基地航空公司发展。,（一）聚集航空物流资源要素,助力基地航空公司发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00026_01,DF1176_00026,DF1176,26,H2,H3,2．大力培育适航产业。,（一）聚集航空物流资源要素,大力培育适航产业,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00028_01,DF1176_00028,DF1176,28,H1,H2,（二）优化航空口岸服务环境,,优化航空口岸服务环境,,llm,1,ok,1,1,False,meso,0.92,T2
DF1176_00029_01,DF1176_00029,DF1176,29,H2,H3,3．丰富航空口岸功能。,（二）优化航空口岸服务环境,丰富航空口岸功能,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00031_01,DF1176_00031,DF1176,31,H2,H3,4．提升口岸通关便利化。,（二）优化航空口岸服务环境,提升口岸通关便利化,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00033_01,DF1176_00033,DF1176,33,H1,H2,（三）增强航空物流服务能力,,增强航空物流服务能力,,llm,1,ok,1,1,False,meso,0.92,T2
DF1176_00034_01,DF1176_00034,DF1176,34,H2,H3,5．加快国际航空物流中心载体建设。,（三）增强航空物流服务能力,加快国际航空物流中心载体建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00036_01,DF1176_00036,DF1176,36,H2,H3,6．加快实施货运通道建设。,（三）增强航空物流服务能力,加快实施货运通道建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00038_01,DF1176_00038,DF1176,38,H1,H2,（四）丰富多式联运体系,,丰富多式联运体系,,llm,1,ok,1,1,False,meso,0.92,T2
DF1176_00039_01,DF1176_00039,DF1176,39,H2,H3,7．做大空空中转业务。,（四）丰富多式联运体系,做大空空中转业务,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00041_01,DF1176_00041,DF1176,41,H2,H3,8．做实空地联运业务。,（四）丰富多式联运体系,做实空地联运业务,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00043_01,DF1176_00043,DF1176,43,H1,H2,（五）提升航空物流通达能力,,提升航空物流通达能力,,llm,1,ok,1,1,False,meso,0.92,T2
DF1176_00044_01,DF1176_00044,DF1176,44,H2,H3,9．增加机场高峰小时容量。,（五）提升航空物流通达能力,增加机场高峰小时容量,,llm,1,ok,1,1,False,meso,0.92,T3
DF1176_00046_01,DF1176_00046,DF1176,46,H2,H3,10．优化客货运航线网络。,（五）提升航空物流通达能力,优化客货运航线网络,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00050_01,DF1185_00050,DF1185,50,H1,H1,三、集中力量建设中国国际航空物流中心,,集中力量建设中国国际航空物流中心,,llm,1,ok,1,1,False,meso,0.92,T2
DF1185_00052_01,DF1185_00052,DF1185,52,H2,H2,（一）强化天津滨海国际机场货运枢纽地位,三、集中力量建设中国国际航空物流中心,强化货运枢纽地位,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00054_01,DF1185_00054,DF1185,54,H2,H2,（二）加快中国国际航空物流中心载体建设,三、集中力量建设中国国际航空物流中心,加快中国国际航空物流中心载体建设,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00058_01,DF1185_00058,DF1185,58,H2,H2,（三）拓展航空物流货源市场,三、集中力量建设中国国际航空物流中心,拓展航空物流货源市场,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00060_01,DF1185_00060,DF1185,60,H2,H2,（四）优化航空物流产业生态系统,三、集中力量建设中国国际航空物流中心,优化航空物流产业生态系统,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00062_01,DF1185_00062,DF1185,62,H1,H1,四、持续夯实天津滨海国际机场空侧基础保障,,持续夯实机场空侧基础保障,,llm,1,ok,1,1,False,meso,0.92,T2
DF1185_00064_01,DF1185_00064,DF1185,64,H2,H2,（一）引育货运基地航空公司,四、持续夯实天津滨海国际机场空侧基础保障,引育货运基地航空公司,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00066_01,DF1185_00066,DF1185,66,H2,H2,（二）统筹一级货站功能,四、持续夯实天津滨海国际机场空侧基础保障,统筹一级货站功能,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00068_01,DF1185_00068,DF1185,68,H2,H2,（三）完善货运航线网络,四、持续夯实天津滨海国际机场空侧基础保障,完善货运航线网络,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00070_01,DF1185_00070,DF1185,70,H2,H2,（四）优化空空中转业务,四、持续夯实天津滨海国际机场空侧基础保障,优化空空中转业务,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00072_01,DF1185_00072,DF1185,72,H1,H1,五、畅通天津滨海国际机场陆侧货运物流体系,,畅通机场陆侧货运物流体系,,llm,1,ok,1,1,False,meso,0.92,T2
DF1185_00074_01,DF1185_00074,DF1185,74,H2,H2,（一）增强天津滨海国际机场集疏运能力,五、畅通天津滨海国际机场陆侧货运物流体系,增强机场集疏运能力,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00076_01,DF1185_00076,DF1185,76,H2,H2,（二）构建大物流多式联运体系,五、畅通天津滨海国际机场陆侧货运物流体系,构建大物流多式联运体系,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00078_01,DF1185_00078,DF1185,78,H1,H1,六、大力开拓航空物流新兴业态,,大力开拓航空物流新兴业态,,llm,1,ok,1,1,False,meso,0.92,T2
DF1185_00080_01,DF1185_00080,DF1185,80,H2,H2,（一）逐步完善冷链物流产业,六、大力开拓航空物流新兴业态,逐步完善冷链物流产业,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00081_01,DF1185_00081,DF1185,81,H3,H3,推进冷链物流基础设施建设。,六、大力开拓航空物流新兴业态 > （一）逐步完善冷链物流产业,推进冷链物流基础设施建设,,llm,1,ok,1,1,False,meso,0.92,T4
DF1185_00083_01,DF1185_00083,DF1185,83,H3,H3,完善冷链物流标准化体系。,六、大力开拓航空物流新兴业态 > （一）逐步完善冷链物流产业,完善冷链物流标准化体系,,llm,1,ok,1,1,False,meso,0.92,T4
DF1185_00085_01,DF1185_00085,DF1185,85,H3,H3,完善冷链物流监管、溯源与信用体系,六、大力开拓航空物流新兴业态 > （一）逐步完善冷链物流产业,完善冷链物流监管,,llm,1,ok,1,3,False,meso,0.92,T4
DF1185_00085_02,DF1185_00085,DF1185,85,H3,H3,完善冷链物流监管、溯源与信用体系,六、大力开拓航空物流新兴业态 > （一）逐步完善冷链物流产业,完善冷链物流溯源,,llm,2,ok,1,3,False,meso,0.92,T4
DF1185_00085_03,DF1185_00085,DF1185,85,H3,H3,完善冷链物流监管、溯源与信用体系,六、大力开拓航空物流新兴业态 > （一）逐步完善冷链物流产业,完善冷链物流信用体系,,llm,3,ok,1,3,False,meso,0.92,T4
DF1185_00087_01,DF1185_00087,DF1185,87,H2,H2,（二）积极推进跨境电商发展,六、大力开拓航空物流新兴业态,积极推进跨境电商发展,,llm,1,ok,1,1,False,meso,0.92,T3
DF1185_00088_01,DF1185_00088,DF1185,88,H3,H3,推进跨境电商产业园区建设。,六、大力开拓航空物流新兴业态 > （二）积极推进跨境电商发展,推进跨境电商产业园区建设,,llm,1,ok,1,1,False,meso,0.92,T4
DF1185_00090_01,DF1185_00090,DF1185,90,H3,H3,加快建设跨境电商产业集群。,六、大力开拓航空物流新兴业态 > （二）积极推进跨境电商发展,加快建设跨境电商产业集群,,llm,1,ok,1,1,False,meso,0.92,T4
