node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category
L4_N48c963e1,L4,引入资金,seed-existing,1,1.0,引入资金,keep,,False,L1_N6bbea948
L4_Na35a474b,L4,引入战略投资者,seed-existing,1,1.0,引入战略投资者,keep,,False,L1_N6bbea948
L4_N08407b0e,L4,增强经营实力,seed-existing,1,1.0,增强经营实力,keep,,False,L1_N6bbea948
L4_N8648b9f1,L4,突破传统监管模式,seed-existing,1,1.0,突破传统监管模式,keep,,False,L1_N6be998d8
L4_N5edfd835,L4,实行一站式通关作业模式,seed-existing,1,1.0,实行一站式通关作业模式,keep,,False,L1_N6be998d8
L4_N34f6aab4,L4,搭建通关申报单一窗口平台,seed-existing,1,1.0,搭建通关申报单一窗口平台,keep,,False,L1_N6be998d8
L4_Nfb48b97b,L4,强化大通关基地与自贸试验区机场片区联动发展,seed-existing,1,1.0,强化大通关基地与自贸试验区机场片区联动发展,keep,,False,L1_N6be998d8
L4_N9273a814,L4,建立三关合一创新监管模式,seed-existing,1,1.0,建立三关合一创新监管模式,keep,,False,L1_N6be998d8
L4_N6c65c54a,L4,提升空港口岸通关效率,seed-existing,1,1.0,提升空港口岸通关效率,keep,,False,L1_N6be998d8
L4_Nfa586cf7,L4,提升空港口岸通关作业电子化水平,seed-existing,1,1.0,提升空港口岸通关作业电子化水平,keep,,False,L1_N6be998d8
L4_N30b235c2,L4,推动机场功能定位差异化发展,seed-existing,1,1.0,推动机场功能定位差异化发展,keep,,False,L1_N6e836104
L4_N255c1775,L4,推进客货枢纽建设,seed-existing,1,1.0,推进客货枢纽建设,keep,,False,L1_N6e836104
L4_N3220a070,L4,着力打造内畅外联航线网络,seed-existing,1,1.0,着力打造内畅外联航线网络,keep,,False,L1_N6e836104
L4_Nf737d76d,L4,加强地面综合交通能力匹配,seed-existing,1,1.0,加强地面综合交通能力匹配,keep,,False,L1_N6e836104
L4_Nc38e3e2b,L4,加快补齐核心资源短板,seed-existing,1,1.0,加快补齐核心资源短板,keep,,False,L1_N6e836104
L4_N4b0d0e0c,L4,优化空港口岸海关指定监管场地布局,seed-existing,1,1.0,优化空港口岸海关指定监管场地布局,keep,,False,L1_N6e836104
L4_Nef2378d9,L4,丰富空港口岸资质类型,seed-existing,1,1.0,丰富空港口岸资质类型,keep,,False,L1_N6e836104
L4_N848f47e5,L4,统筹完善机场航空货运保障设施设备,seed-existing,1,1.0,统筹完善机场航空货运保障设施设备,keep,,False,L1_N6e836104
L4_Na052476c,L4,提升机场货站智能化水平,seed-existing,1,1.0,提升机场货站智能化水平,keep,,False,L1_N6e836104
L4_N85bf292e,L4,加快电子商务体系建设,seed-existing,1,1.0,加快电子商务体系建设,keep,,False,L1_N6e836104
L4_N7d2d45d8,L4,推进冷链物流基础设施建设,seed-existing,1,1.0,推进冷链物流基础设施建设,keep,,False,L1_N70e79b29
L4_N1c9477d5,L4,完善冷链物流标准化体系,seed-existing,1,1.0,完善冷链物流标准化体系,keep,,False,L1_N70e79b29
L4_N70a840eb,L4,完善冷链物流监管,merge-high,2,0.9,完善冷链物流监管,keep,,False,L1_N70e79b29
L4_Nc2b9cf21,L4,完善冷链物流信用体系,seed-existing,1,1.0,完善冷链物流信用体系,keep,,False,L1_N70e79b29
L4_Na1c24377,L4,推进跨境电商产业园区建设,merge-high,2,0.9,推进跨境电商产业园区建设,keep,,False,L1_N70e79b29
L4_N5e94e625,L4,推动跨境电商企业数字化转型,seed-existing,1,1.0,推动跨境电商企业数字化转型,keep,,False,L1_N70e79b29
L4_N8bd3a8a5,L4,加快中转硬件设施配套,seed-existing,1,1.0,加快中转硬件设施配套,keep,,False,L1_N70e79b29
L4_N90c2cae1,L4,优化企业运营软环境,seed-existing,1,1.0,优化企业运营软环境,keep,,False,L1_N70e79b29
L4_N219c5452,L4,成立货运机场联盟,seed-existing,1,1.0,成立货运机场联盟,keep,,False,L1_N70e79b29
L4_N61514be4,L4,持续发力全货运包机业务,seed-existing,1,1.0,持续发力全货运包机业务,keep,,False,L1_N70e79b29
L4_N8d005590,L4,健全应急物流包机服务体系,seed-existing,1,1.0,健全应急物流包机服务体系,keep,,False,L1_N70e79b29
L4_N6dc065d5,L4,建立供应链服务平台,seed-existing,1,1.0,建立供应链服务平台,keep,,False,L1_N70e79b29
L4_N0e93e380,L4,加强同制造业融合发展,seed-existing,1,1.0,加强同制造业融合发展,keep,,False,L1_N70e79b29
L4_Nf47f4823,L4,推动供应链金融快速发展,seed-existing,1,1.0,推动供应链金融快速发展,keep,,False,L1_N70e79b29
L4_Nb11795db,L4,开通贸易密切城市航线,seed-existing,1,1.0,开通贸易密切城市航线,keep,,False,L1_N70e79b29
L4_N945a64d3,L4,加密货源丰富地区航线,seed-existing,1,1.0,加密货源丰富地区航线,keep,,False,L1_N70e79b29
L4_Na37f8214,L4,引导国际货运航线布局与制造业需求对接,seed-existing,1,1.0,引导国际货运航线布局与制造业需求对接,keep,,False,L1_N70e79b29
L4_Ne346220c,L4,提升国际航空货运枢纽全球响应能力,seed-existing,1,1.0,提升国际航空货运枢纽全球响应能力,keep,,False,L1_N70e79b29
L4_N27d838ea,L4,构建双扇形航线网络布局,seed-existing,1,1.0,构建双扇形航线网络布局,keep,,False,L1_N70e79b29
L4_Nb967aed3,L4,加强与国际机场合作,seed-existing,1,1.0,加强与国际机场合作,keep,,False,L1_N70e79b29
L4_Nb4e3c0ce,L4,开展多形式中转业务,seed-existing,2,1.0,开展多形式中转业务,keep,,False,L1_N70e79b29
L4_Nfdd2124b,L4,加快引进国内国际货运航司,seed-existing,1,1.0,加快引进国内国际货运航司,keep,,False,L1_N70e79b29
L4_N1b595109,L4,加快引进快递企业航司,seed-existing,2,1.0,加快引进快递企业航司,keep,,False,L1_N70e79b29
L4_N31c774ef,L4,加强与货运航空公司合作,seed-existing,1,1.0,加强与货运航空公司合作,keep,,False,L1_N70e79b29
L4_Na5c9f759,L4,以运力发展带动航线布局,seed-existing,1,1.0,以运力发展带动航线布局,keep,,False,L1_N70e79b29
L4_N256f563d,L4,引进航司提升运力,seed-existing,1,1.0,引进航司提升运力,keep,,False,L1_N70e79b29
L4_N9596affd,L4,积极推进机场各货运区规划建设,seed-existing,1,1.0,积极推进机场各货运区规划建设,keep,,False,L1_N70e79b29
L4_Nc0927f0b,L4,稳步推进货运基础设施建设,seed-existing,1,1.0,稳步推进货运基础设施建设,keep,,False,L1_N70e79b29
L4_N2720f054,L4,补齐机场设施短板,seed-existing,1,1.0,补齐机场设施短板,keep,,False,L1_N70e79b29
L4_Ndfac356a,L4,规划配置货机位,seed-existing,1,1.0,规划配置货机位,keep,,False,L1_N70e79b29
L4_N5fc249ab,L4,规划配置陆侧道路,seed-existing,1,1.0,规划配置陆侧道路,keep,,False,L1_N70e79b29
L4_N6bfccf65,L4,规划配置空侧道路和配套办公设施,seed-existing,1,1.0,规划配置空侧道路和配套办公设施,keep,,False,L1_N70e79b29
L4_Nbc7f4787,L4,推进保税物流园区建设,seed-existing,1,1.0,推进保税物流园区建设,keep,,False,L1_N70e79b29
L4_N6834f90a,L4,推进跨境电商园区建设,seed-existing,1,1.0,推进跨境电商园区建设,keep,,False,L1_N70e79b29
L4_N2d19c279,L4,引育优质货运代理,seed-existing,1,1.0,引育优质货运代理,keep,,False,L1_N70e79b29
L4_N3bc888c0,L4,引育大型电商物流企业,seed-existing,1,1.0,引育大型电商物流企业,keep,,False,L1_N70e79b29
L4_N6bcc2030,L4,构建高效的航空物流地面集散体系,seed-existing,1,1.0,构建高效的航空物流地面集散体系,keep,,False,L1_N70e79b29
L4_N0d91d293,L4,延伸货运服务,seed-existing,1,1.0,延伸货运服务,keep,,False,L1_N70e79b29
L4_N3ac13c17,L4,探索异地货站模式,seed-existing,1,1.0,探索异地货站模式,keep,,False,L1_N70e79b29
L4_Na8ba2f4a,L4,探索开展多式联运,seed-existing,1,1.0,探索开展多式联运,keep,,False,L1_N70e79b29
L4_N162d5723,L4,加强国内外航空货运市场推介,seed-existing,1,1.0,加强国内外航空货运市场推介,keep,,False,L1_N70e79b29
L4_Nd788e769,L4,加强国内外航空货运招商工作,seed-existing,1,1.0,加强国内外航空货运招商工作,keep,,False,L1_N70e79b29
L4_N94978a33,L4,提升客机腹舱货邮量,seed-existing,1,1.0,提升客机腹舱货邮量,keep,,False,L1_N70e79b29
L4_Ne0f95b19,L4,推进航空敏感货物运输业务,seed-existing,1,1.0,推进航空敏感货物运输业务,keep,,False,L1_N70e79b29
L4_Nea99104a,L4,做大跨境电商和国际航空货运规模,seed-existing,1,1.0,做大跨境电商和国际航空货运规模,keep,,False,L1_N70e79b29
L4_Na35280bb,L4,构建多式联运的物流网络,seed-existing,1,1.0,构建多式联运的物流网络,keep,,False,L1_N70e79b29
L4_Na2b3c84a,L4,拓展园区货源,seed-existing,1,1.0,拓展园区货源,keep,,False,L1_N70e79b29
