node_id,level,label,provenance,size,confidence,human_label,human_action,human_notes,locked,l1_category,is_new
L3_Nc3e4e468,L3,推进临空经济发展,seed-existing,1,1.0,推进临空经济发展,keep,,False,L1_N70e79b29,
L3_N9a9d4b5c,L3,支持多元市场主体发展,seed-existing,1,1.0,支持多元市场主体发展,keep,,False,L1_N70e79b29,
L3_N2d02331f,L3,鼓励市场主体加强货运能力建设,seed-existing,1,1.0,鼓励市场主体加强货运能力建设,keep,,False,L1_N70e79b29,
L3_N3ba23cb1,L3,大力发展货运中转业务,seed-existing,1,1.0,大力发展货运中转业务,keep,,False,L1_N70e79b29,
L3_Nc594b785,L3,拓展航空货运细分领域,seed-existing,1,1.0,拓展航空货运细分领域,keep,,False,L1_N70e79b29,
L3_Na7c6a537,L3,推动多式联运发展,seed-existing,1,1.0,推动多式联运发展,keep,,False,L1_N70e79b29,
L3_Na1b5b8e4,L3,加快国际航空物流中心载体建设,seed-existing,1,1.0,加快国际航空物流中心载体建设,keep,,False,L1_N70e79b29,
L3_Nd3c80123,L3,加快实施货运通道建设,seed-existing,1,1.0,加快实施货运通道建设,keep,,False,L1_N70e79b29,
L3_N82cdf37d,L3,做大空空中转业务,seed-existing,1,1.0,做大空空中转业务,keep,,False,L1_N70e79b29,
L3_Nc92a3618,L3,做实空地联运业务,seed-existing,1,1.0,做实空地联运业务,keep,,False,L1_N70e79b29,
L3_N595f8c05,L3,逐步完善冷链物流产业,seed-existing,1,1.0,逐步完善冷链物流产业,keep,,False,L1_N70e79b29,
L3_N18ada171,L3,积极推进跨境电商发展,seed-existing,1,1.0,积极推进跨境电商发展,keep,,False,L1_N70e79b29,
L3_Nd551ce89,L3,发展航空中转集拼业务,seed-existing,1,1.0,发展航空中转集拼业务,keep,,False,L1_N70e79b29,
L3_N29e43ee4,L3,建设货运包机运营基地,seed-existing,1,1.0,建设货运包机运营基地,keep,,False,L1_N70e79b29,
L3_N640a2992,L3,进一步优化供应链管理,seed-existing,1,1.0,进一步优化供应链管理,keep,,False,L1_N70e79b29,
L3_Nf3b017a0,L3,完善国际货运航线,seed-existing,1,1.0,完善国际货运航线,keep,,False,L1_N70e79b29,
L3_N198ad664,L3,积极打造中转航线,seed-existing,1,1.0,积极打造中转航线,keep,,False,L1_N70e79b29,
L3_Nc97533ee,L3,引进航司提升运力,seed-existing,1,1.0,引进航司提升运力,keep,,False,L1_N70e79b29,
L3_Nb328f7fc,L3,加强货运设施建设,merge-high,2,0.9,加强货运设施建设,keep,,False,L1_N70e79b29,
L3_Nb0e7dd4f,L3,加快数字基建建设,seed-existing,1,1.0,加快数字基建建设,keep,,False,L1_N70e79b29,
L3_N0f65b0c3,L3,丰富货运参与主体,seed-existing,1,1.0,丰富货运参与主体,keep,,False,L1_N70e79b29,
L3_N65606e29,L3,强化陆运集货网络,seed-existing,1,1.0,强化陆运集货网络,keep,,False,L1_N70e79b29,
L3_Nd290d812,L3,探索开展多式联运,seed-existing,1,1.0,探索开展多式联运,keep,,False,L1_N70e79b29,
L3_Nca0d54be,L3,引入培育龙头企业,seed-existing,1,1.0,引入培育龙头企业,keep,,False,L1_N70e79b29,
L3_Nf8bb4ea7,L3,加强集疏运体系建设,seed-existing,1,1.0,加强集疏运体系建设,keep,,False,L1_N70e79b29,
L3_Ncc6e46eb,L3,加强市场推介,seed-existing,1,1.0,加强市场推介,keep,,False,L1_N70e79b29,
L3_Naeed249a,L3,加强招商,seed-existing,1,1.0,加强招商,keep,,False,L1_N70e79b29,
L3_N4da94e7a,L3,大力拓展货源,seed-existing,1,1.0,大力拓展货源,keep,,False,L1_N70e79b29,
L3_Nef0fcc52,L3,出台新一轮专项扶持政策,seed-existing,1,1.0,出台新一轮专项扶持政策,keep,,False,L1_N762e6689,
L3_Nb3d3c087,L3,打造高效便利的口岸营商环境,seed-existing,1,1.0,打造高效便利的口岸营商环境,keep,,False,L1_N762e6689,
L3_N578f3b8a,L3,提升跨境电子商务国际货运服务能力,seed-existing,1,1.0,提升跨境电子商务国际货运服务能力,keep,,False,L1_N762e6689,
L3_N9c47a867,L3,推进智慧物流建设,seed-existing,1,1.0,推进智慧物流建设,keep,,False,L1_N762e6689,
L3_N5383b7aa,L3,创新发展管理模式,seed-existing,1,1.0,创新发展管理模式,keep,,False,L1_N762e6689,
L3_N55fb6992,L3,加强规划顶层设计,seed-existing,1,1.0,加强规划顶层设计,keep,,False,L1_N762e6689,
L3_N3810ecfd,L3,推动区域机场合作,seed-existing,1,1.0,推动区域机场合作,keep,,False,L1_N762e6689,
L3_Na04441bf,L3,争取民航国家政策支持,seed-existing,1,1.0,争取民航国家政策支持,keep,,False,L1_N762e6689,
L3_Nf8276134,L3,争取海关国家政策支持,seed-existing,1,1.0,争取海关国家政策支持,keep,,False,L1_N762e6689,
L3_Na6c4ae61,L3,给予财政土地人才等地方政策支持,seed-existing,1,1.0,给予财政土地人才等地方政策支持,keep,,False,L1_N762e6689,
L3_N4888066d,L3,研究制订航空枢纽建设专项扶持办法加强对航空货运发展方面的支持,seed-existing,1,1.0,研究制订航空枢纽建设专项扶持办法加强对航空货运发展方面的支持,keep,,False,L1_N762e6689,
L3_Nb28e82d6,L3,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,seed-existing,1,1.0,整合盘活低效闲置土地资源强化对航空货运枢纽建设项目用地支持,keep,,False,L1_N762e6689,
L3_Ne78d3c45,L3,开展航空货运总体规划研究,seed-existing,1,1.0,开展航空货运总体规划研究,keep,,False,L1_N762e6689,
L3_N55664f5d,L3,开展航空货运发展专项研究,seed-existing,1,1.0,开展航空货运发展专项研究,keep,,False,L1_N762e6689,
L3_N0362ceea,L3,加快完善口岸功能,seed-existing,1,1.0,加快完善口岸功能,keep,,False,L1_N762e6689,
L3_Ne7b47d1e,L3,优化口岸营商环境,seed-existing,1,1.0,优化口岸营商环境,keep,,False,L1_N762e6689,
L3_N888d7345,L3,提升通关服务效率,seed-existing,1,1.0,提升通关服务效率,keep,,False,L1_N762e6689,
L3_N3494c85c,L3,东盟电商服务拓展,classify-llm,1,0.72,东盟电商服务拓展,keep,子节点聚焦‘简单加工+跨境电商服务’，而候选父节点均围绕物流、港区或揽货能力，语义重心不匹配；需新建更贴合‘跨境电商服务商’定位的父节点,False,L1_N52f6895e,True
L3_N32b417e2,L3,生鲜交易市场建设,classify-llm,1,0.82,生鲜交易市场建设,keep,候选父节点均聚焦物流或电商拓展，与‘打造生鲜交易中心’这一实体市场建设目标语义不匹配；需新建更贴合的上位节点,False,L1_N52f6895e,True
L3_Ne55e384d,L3,单据电子化建设,classify-llm,1,0.75,单据电子化建设,keep,候选父节点语义偏宏观（如智慧平台、运营管理、新兴技术），未聚焦‘单据电子化’这一具体任务；且Jaccard相似度极低，说明成员重合度差，宜新建精准父节点,False,L1_N6bbea948,True
L3_Nfb48b97b,L3,大通关与自贸区联动,classify-llm,1,0.82,大通关与自贸区联动,keep,子节点强调‘联动发展’，而候选父节点分别侧重基地建设、临空产业或通关便利化，均未涵盖两者协同主题；需新建更精准父节点,False,L1_N6be998d8,True
L3_N85bf292e,L3,电子商务体系支持,classify-llm,1,0.82,电子商务体系支持,keep,候选父节点均聚焦交通/航空基建，与电子商务体系建设主题不匹配,False,L1_N6e836104,True
L3_N90c2cae1,L3,优化企业运营环境,classify-llm,1,0.85,优化企业运营环境,keep,候选父节点均聚焦具体物流或航空业务，与‘企业运营软环境’这一宏观营商环境主题不匹配；需新建更上位的政策支持类父节点,False,L1_N70e79b29,True
L3_N0e93e380,L3,制造业融合促进,classify-llm,1,0.82,制造业融合促进,keep,候选父节点均聚焦航空物流、跨境电商或供应链优化，与‘制造业融合发展’主题不一致；需新建上位节点以准确涵盖该战略方向,False,L1_N70e79b29,True
L3_N94978a33,L3,提升客机腹舱运力,classify-llm,1,0.72,提升客机腹舱运力,keep,候选父节点均聚焦货源、中转或细分领域，未直接涵盖‘客机腹舱货邮量’这一具体运力提升措施；语义相关但对象不匹配，宜新建更精准父节点,False,L1_N70e79b29,True
