child_id,parent_id,decision,confidence,reason,support_counts,is_new_parent,human_action
L2_N7d5270bf,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N3c9cbbd0,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N18198f00,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_Nadf8c478,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N466127b4,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N10f72f08,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 2}",False,keep
L2_N08a346fe,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N709fdde1,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 4}",False,keep
L2_N9a2b3002,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N8c3b0cad,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Nd77a7607,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N9ef25cc0,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N69b20189,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Ne4cef915,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N8e687f9d,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Nf64b0b03,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Nd0b47c6e,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N172cd711,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N2f32c229,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Nc3c2ff15,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 2}",False,keep
L2_Nd39445b0,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N926fa20a,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N3782a8fc,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Naaad89dc,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_Nbfebbffa,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N13abaa5a,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N68c2aa93,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N8ed52793,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 1}",False,keep
L2_N6db20b9a,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 2}",False,keep
L2_Nd5d2d592,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 1}",False,keep
L2_N242a428d,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 1}",False,keep
L2_N6da1b013,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 1}",False,keep
L2_Ne455f9ae,L1_N6be998d8,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6be998d8"": 1}",False,keep
L2_N60c3ab56,L1_N6e836104,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N6e836104"": 1}",False,keep
L2_N27ba78e2,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N640a2992,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N0e93e380,L1_N70e79b29,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N70e79b29"": 1}",False,keep
L2_N578f3b8a,L1_N762e6689,R1_Hard_Link,1.0,Physical support 100.0% >= 0.5,"{""L1_N762e6689"": 1}",False,keep
