block_id,doc_id,h_level,block_type,original_text,status,pau_id,O,A,A_type,S_scope,S_focus,S_stage,S_type,pau_final,t_level_base,t_level_adjusted,is_leaf_candidate,validation_issues
DF0009_009,DF0009,NA,body,（六）加快推进浦东国际机场第五跑道军地协议签订、飞行程序调整等前期工作，推动第五跑道尽快开放使用。（责任单位：市发展改革委、民航华东地区管理局、机场集团、民航华东空管局）,valid,PAU_002,第五跑道开放使用,推动,operational,"[""浦东国际机场""]",[],[],[],浦东国际机场第五跑道开放使用,T3,T4,True,[]
DF0009_008,DF0009,NA,body,（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）,valid,PAU_001,上海空港型国家物流枢纽建设,推动,substantive,"[""上海"", ""航空"", ""枢纽""]",[],[],[],上海空港型国家物流枢纽建设,T1,T3,False,[]
DF0009_008,DF0009,NA,body,（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）,valid,PAU_002,浦东国际机场智能货站,建成并投运,operational,"[""浦东国际机场""]","[""智慧""]",[],[],浦东国际机场智能货站,T3,T4,True,[]
DF0009_008,DF0009,NA,body,（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）,valid,PAU_003,集中查验中心,建成并投运,operational,"[""浦东国际机场""]",[],[],[],浦东国际机场集中查验中心,T3,T4,True,[]
DF0009_008,DF0009,NA,body,（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）,valid,PAU_004,浦东国际机场新东货运区快件和跨境电商货物处理中心,启动,operational,"[""浦东国际机场""]",[],[],[],浦东国际机场新东货运区快件和跨境电商货物处理中心,T3,T4,True,[]
DF0009_008,DF0009,NA,body,（五）推动上海空港型国家物流枢纽建设，加快建成并投运浦东国际机场智能货站、集中查验中心等基础设施，抓紧启动浦东国际机场新东货运区快件和跨境电商货物处理中心、亚太一站式航空物流中心等项目建设。（责任单位：机场集团、东航集团、上海海关、浦东新区政府、市发展改革委、临港新片区管委会）,valid,PAU_005,亚太一站式航空物流中心,启动,operational,"[""亚太"", ""航空"", ""枢纽""]",[],[],[],亚太一站式航空物流中心,T3,T4,True,[]
DF0009_010,DF0009,NA,body,（七）持续完善上海两场及周边地区综合交通规划方案，加快推进周邓快速路、漕宝快速路、G15等机场地区对外道路通道项目建设。（责任单位：市交通委、浦东新区政府）,valid,PAU_001,综合交通规划方案,完善,substantive,"[""上海两场"", ""周边地区""]",[],[],[],上海两场及周边地区综合交通规划方案,T2,T3,False,[]
DF0009_010,DF0009,NA,body,（七）持续完善上海两场及周边地区综合交通规划方案，加快推进周邓快速路、漕宝快速路、G15等机场地区对外道路通道项目建设。（责任单位：市交通委、浦东新区政府）,valid,PAU_002,项目建设,推进,operational,"[""机场地区"", ""周邓快速路"", ""漕宝快速路"", ""G15""]",[],[],[],机场地区对外道路通道项目（周邓快速路、漕宝快速路、G15）建设,T3,T4,True,[]
DF0009_012,DF0009,H1,title,四、积极培育多元经营主体,valid,PAU_001,多元经营主体,培育,substantive,[],[],[],[],积极培育多元经营主体,T2,T2,False,[]
DF0009_011,DF0009,NA,body,（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）,valid,PAU_001,国内航空公司,鼓励支持,intent,"[""国内"", ""航空""]",[],[],[],鼓励支持国内航空公司扩大货运机队规模,T3,T4,False,[]
DF0009_011,DF0009,NA,body,（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）,valid,PAU_002,货运机队规模,扩大,substantive,"[""国内"", ""航空""]",[],[],[],国内航空货运机队规模,T3,T4,True,[]
DF0009_011,DF0009,NA,body,（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）,valid,PAU_003,国外航空公司,吸引,intent,"[""国际"", ""航空""]",[],[],[],吸引国外航空公司加大在沪运力投放力度,T3,T4,False,[]
DF0009_011,DF0009,NA,body,（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）,valid,PAU_004,运力投放,加大,operational,"[""国际"", ""航空"", ""上海""]",[],[],[],国际航空公司在沪运力投放,T3,T4,True,[]
DF0009_011,DF0009,NA,body,（八）鼓励支持国内航空公司扩大货运机队规模，吸引国外航空公司加大在沪运力投放力度，进一步增强上海两场货运保障能力。（责任单位：市交通委、市发展改革委、市商务委（市口岸办）、民航华东地区管理局、机场集团、基地航空公司）,valid,PAU_005,货运保障能力,增强,direction,"[""上海两场"", ""航空""]",[],[],[],上海两场航空货运保障能力,T2,T3,False,[]
DF0009_015,DF0009,H1,title,五、大力拓展增量市场业务,valid,PAU_001,增量市场业务,拓展,substantive,[],[],[],[],增量市场业务,T2,T2,False,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_001,经营主体,支持,intent,"[""上海""]",[],[],[],支持经营主体在上海设立总部或分拨中心,T3,T4,False,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_002,航空货运业务,发展,substantive,"[""上海""]",[],[],[],发展上海航空货运业务,T3,T4,True,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_003,货运保障设施,建设,substantive,"[""上海""]",[],[],[],建设上海货运保障设施,T3,T4,True,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_004,货运代理企业,吸引,intent,"[""国际"", ""上海""]",[],[],[],吸引具有国际影响力的货运代理企业落户上海,T3,T4,False,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_005,本地货运代理企业,培育,substantive,"[""上海""]",[],[],[],培育本地货运代理企业,T3,T4,True,[]
DF0009_013,DF0009,NA,body,（九）支持国内外航空公司、快递物流企业等各类经营主体在上海设立总部或分拨中心，发展航空货运业务，建设货运保障设施。吸引具有国际影响力的货运代理企业落户上海，培育提升本地货运代理企业的服务竞争力。（责任单位：市交通委、市商务委、市发展改革委、民航华东地区管理局、上海海关、机场集团）,valid,PAU_006,服务竞争力,提升,direction,"[""本地"", ""上海""]",[],[],[],提升本地货运代理企业服务竞争力,T2,T3,False,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_001,前置仓,布局建设,substantive,[],[],[],[],前置仓,T3,T3,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_002,集货仓,布局建设,substantive,[],[],[],[],集货仓,T3,T3,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_003,物流体系,完善,substantive,[],[],[],[],物流体系,T1,T1,False,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_004,冷链物流,提供保障,operational,[],[],[],"[""冷链""]",冷链物流保障,T3,T3.5,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_005,跨境电商,提供保障,operational,[],[],[],[],跨境电商保障,T3,T3,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_006,电子芯片,提供保障,operational,[],[],[],[],电子芯片保障,T3,T3,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_007,生物医药,提供保障,operational,[],[],[],[],生物医药保障,T3,T3,True,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_008,航空物流企业,支持,intent,"[""航空""]",[],[],[],支持航空物流企业,T2,T3,False,[]
DF0009_014,DF0009,NA,body,（十）根据产业发展需求，布局建设前置仓和集货仓，完善生产、仓储、运输等物流体系，为冷链物流、跨境电商、电子芯片、生物医药等行业提供保障。支持航空物流企业立足上海布局建设海外货站。（责任单位：市发展改革委、市商务委（市口岸办）、市经济信息化委、市规划资源局、市交通委、机场集团、东航集团）,valid,PAU_009,海外货站,布局建设,substantive,"[""国际""]",[],[],[],海外货站,T3,T4,True,[]
DF0009_017,DF0009,NA,body,（十二）大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。（责任单位：市交通委、民航华东地区管理局、中国铁路上海局集团、东方枢纽集团、机场集团、东航集团、上港集团）,valid,PAU_001,多式联运业务,发展,substantive,[],[],[],[],多式联运业务,T3,T3,True,[]
DF0009_017,DF0009,NA,body,（十二）大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。（责任单位：市交通委、民航华东地区管理局、中国铁路上海局集团、东方枢纽集团、机场集团、东航集团、上港集团）,valid,PAU_002,东方枢纽空铁一体化规划建设,推进,operational,"[""东方枢纽""]",[],[],[],东方枢纽空铁一体化规划建设,T2,T3,False,[]
DF0009_017,DF0009,NA,body,（十二）大力发展多式联运业务，加快推进东方枢纽空铁一体化规划建设，持续推动空铁联运业务拓展。（责任单位：市交通委、民航华东地区管理局、中国铁路上海局集团、东方枢纽集团、机场集团、东航集团、上港集团）,valid,PAU_003,空铁联运业务拓展,推动,operational,[],[],[],[],空铁联运业务拓展,T3,T3,False,[]
DF0009_018,DF0009,H1,title,六、扎实做好货物运输保障,valid,PAU_001,货物运输保障,做好,operational,[],[],[],[],货物运输保障,T3,T3,True,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_001,空空中转模式,打造,substantive,[],"[""便捷""]",[],[],通关便捷空空中转模式,T2,T2,False,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_002,中转作业流程,优化,operational,[],[],[],[],中转作业流程,T3,T3,True,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_003,机场地面保障能力,提升,direction,"[""机场""]",[],[],[],机场地面保障能力,T2,T3,False,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_004,中外航空公司强化货运中转功能,推动,intent,"[""航空""]",[],[],[],中外航空公司货运中转功能,T2,T3,False,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_005,需求,对接,operational,[],[],[],[],对接需求,T4,T4,True,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_006,资源,集聚,operational,[],[],[],[],集聚资源,T4,T4,True,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_007,货运中转产品,开发,substantive,"[""航空""]",[],[],[],航空货运中转产品,T3,T4,True,[]
DF0009_016,DF0009,NA,body,（十一）加快打造通关便捷、资源配套、快速高效的空空中转模式，不断优化中转作业流程，提升机场地面保障能力。推动中外航空公司强化货运中转功能，积极对接需求、集聚资源，持续开发货运中转产品，提升航空货物中转量。（责任单位：市交通委、市商务委（市口岸办）、上海海关、民航华东地区管理局、机场集团、东航集团）,valid,PAU_008,航空货物中转量,提升,direction,"[""航空""]",[],[],[],航空货物中转量,T3,T4,False,[]
DF0009_020,DF0009,NA,body,（十四）推动航空物流、跨境电商等企业深化合作，建立服务跨境电商专属平台，组建跨境电商专属运输机队（自购、租赁货机），开设跨境电商专属航线航班，服务上海口岸跨境电商货物空运需求。（责任单位：市交通委、市商务委（市口岸办）、市国资委、民航华东地区管理局、东航集团）,valid,PAU_001,合作,推动,intent,"[""航空物流"", ""跨境电商""]",[],[],[],推动航空物流、跨境电商企业深化合作,T2,T3,False,[]
DF0009_020,DF0009,NA,body,（十四）推动航空物流、跨境电商等企业深化合作，建立服务跨境电商专属平台，组建跨境电商专属运输机队（自购、租赁货机），开设跨境电商专属航线航班，服务上海口岸跨境电商货物空运需求。（责任单位：市交通委、市商务委（市口岸办）、市国资委、民航华东地区管理局、东航集团）,valid,PAU_002,平台,建立,substantive,"[""跨境电商""]",[],[],[],跨境电商专属服务平台,T3,T4,True,[]
