child_id,parent_id,decision,confidence,reason,support_counts,human_parent_id,human_action,human_notes,is_new_parent
L2_Nd77a7607,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N9ef25cc0,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N69b20189,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_Ne4cef915,L1_N4be5a183,llm_assign,0.92,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N2f32c229,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N2f1afa59,L1_N47d528f3,llm_assign,0.65,,"{""L1_N47d528f3"": 1}",L1_N47d528f3,keep,,False
L2_Nbfebbffa,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N68c2aa93,L1_N47d528f3,llm_assign,0.65,,"{""L1_N47d528f3"": 1}",L1_N47d528f3,keep,,False
L2_N7d4bb1b0,L1_N4be5a183,llm_assign,0.72,,"{""L1_N47d528f3"": 1}",L1_N4be5a183,keep,,False
L2_N4db8aea7,L1_N39371e6b,llm_assign,0.62,,"{""L1_N9adcfb9c"": 1}",L1_N39371e6b,keep,,False
L2_N9e86e873,L1_N9adcfb9c,llm_assign,0.75,,"{""L1_N9adcfb9c"": 1}",L1_N9adcfb9c,keep,,False
L2_N33b2d022,L1_N9adcfb9c,llm_assign,0.72,,"{""L1_N9adcfb9c"": 1}",L1_N9adcfb9c,keep,,False
L2_Nbde783bd,L1_N9adcfb9c,llm_assign,0.72,,"{""L1_N9adcfb9c"": 1}",L1_N9adcfb9c,keep,,False
L2_N55017dad,L1_Nec468dfb,llm_assign_new,0.65,L2 标题过于泛化且样本单一，'强化组织推动'属于执行机制而非具体政策主题，现有 L1 均聚焦具体领域，语义不匹配,"{""L1_Nd2e7e4e3"": 1}",L1_Nec468dfb,review,L2 标题过于泛化且样本单一，'强化组织推动'属于执行机制而非具体政策主题，现有 L1 均聚焦具体领域，语义不匹配,True
L2_N6dbdd1f8,L1_Nd2e7e4e3,llm_assign,0.65,,"{""L1_Nd2e7e4e3"": 1}",L1_Nd2e7e4e3,keep,,False
L2_Ne1879105,L1_Ne2bd7697,llm_assign,0.72,,"{""L1_Ne2bd7697"": 1}",L1_Ne2bd7697,keep,,False
L2_Nfdcfd3c4,L1_Ne2bd7697,llm_assign,0.82,,"{""L1_Ne2bd7697"": 1}",L1_Ne2bd7697,keep,,False
L2_Nd825449f,L1_N21391b6c,llm_assign,0.85,,"{""L1_N52f6895e"": 1}",L1_N21391b6c,keep,,False
L2_Nc3d125b3,L1_N52f6895e,llm_assign,0.72,,"{""L1_N52f6895e"": 1}",L1_N52f6895e,keep,,False
