parent,id_a,id_b,label_a,label_b,jaccard,cosine,vectors_computable,heading_a,heading_b
ROOT,L1_N6749bde4,L1_Nb2e2f536,通关与口岸便利化,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_N8e29a85d,L1_N05f93386,产业融合与区域联动,智慧物流与数字化,0.0,0.0,False,,
ROOT,L1_N8e29a85d,L1_Nb2e2f536,产业融合与区域联动,安全韧性与绿色发展,0.0,0.0,False,,
ROOT,L1_N05f93386,L1_Nb2e2f536,智慧物流与数字化,安全韧性与绿色发展,0.0,0.0,False,,
L1_N762e6689,L2_N4f9516d8,L2_N55fb6992,发展航空经济,规划与顶层设计,0.0,0.42092660069465637,True,,（一）强化战略统筹引领
L2_N55fb6992,L3_N3810ecfd,L3_N5fd9193c,推动区域机场合作,争取民航国家政策支持,0.0,0.7880570888519287,True,（一）强化战略统筹引领,
L2_N55fb6992,L3_N3810ecfd,L3_Na6c4ae61,推动区域机场合作,制订航空枢纽建设专项扶持办法,0.0,0.7990698218345642,True,（一）强化战略统筹引领,（八）加强政策协同创新
L2_N55fb6992,L3_N3810ecfd,L3_N4888066d,推动区域机场合作,强化航空货运枢纽建设项目用地支持,0.0,0.7893315553665161,True,（一）强化战略统筹引领,（八）加强政策协同创新
L2_N55fb6992,L3_N3810ecfd,L3_Nb28e82d6,推动区域机场合作,加强航空货运人才队伍建设,0.0,0.7440001368522644,True,（一）强化战略统筹引领,（八）加强政策协同创新
L2_N55fb6992,L3_N3810ecfd,L3_Ne78d3c45,推动区域机场合作,开展航空货运总体规划研究,0.0,0.7269418239593506,True,（一）强化战略统筹引领,（一）注重规划支撑引领
L2_N55fb6992,L3_N5fd9193c,L3_Na6c4ae61,争取民航国家政策支持,制订航空枢纽建设专项扶持办法,0.09090909090909091,0.8290184140205383,True,,（八）加强政策协同创新
L2_N55fb6992,L3_N5fd9193c,L3_N4888066d,争取民航国家政策支持,强化航空货运枢纽建设项目用地支持,0.13043478260869565,0.8271793127059937,True,,（八）加强政策协同创新
L2_N55fb6992,L3_N5fd9193c,L3_Nb28e82d6,争取民航国家政策支持,加强航空货运人才队伍建设,0.047619047619047616,0.8126981258392334,True,,（八）加强政策协同创新
L2_N55fb6992,L3_N5fd9193c,L3_Ne78d3c45,争取民航国家政策支持,开展航空货运总体规划研究,0.047619047619047616,0.6954064965248108,True,,（一）注重规划支撑引领
L2_N55fb6992,L3_Na6c4ae61,L3_N4888066d,制订航空枢纽建设专项扶持办法,强化航空货运枢纽建设项目用地支持,0.36363636363636365,0.877571165561676,True,（八）加强政策协同创新,（八）加强政策协同创新
L2_N55fb6992,L3_Na6c4ae61,L3_Nb28e82d6,制订航空枢纽建设专项扶持办法,加强航空货运人才队伍建设,0.18181818181818182,0.7940708994865417,True,（八）加强政策协同创新,（八）加强政策协同创新
L2_N55fb6992,L3_Na6c4ae61,L3_Ne78d3c45,制订航空枢纽建设专项扶持办法,开展航空货运总体规划研究,0.08333333333333333,0.7293263077735901,True,（八）加强政策协同创新,（一）注重规划支撑引领
L2_N55fb6992,L3_N4888066d,L3_Nb28e82d6,强化航空货运枢纽建设项目用地支持,加强航空货运人才队伍建设,0.3333333333333333,0.843173086643219,True,（八）加强政策协同创新,（八）加强政策协同创新
L2_N55fb6992,L3_N4888066d,L3_Ne78d3c45,强化航空货运枢纽建设项目用地支持,开展航空货运总体规划研究,0.16666666666666666,0.7659798860549927,True,（八）加强政策协同创新,（一）注重规划支撑引领
L2_N55fb6992,L3_Nb28e82d6,L3_Ne78d3c45,加强航空货运人才队伍建设,开展航空货运总体规划研究,0.2,0.7959288954734802,True,（八）加强政策协同创新,（一）注重规划支撑引领
L1_Na2c51463,L2_Nff3b5230,L1_Na2c51463_BR_8bc9bb,聚集航空物流资源要素,基础设施与资源保障,0.125,0.0,False,,
L1_Na2c51463,L2_Nff3b5230,L1_Na2c51463_BR_09285d,聚集航空物流资源要素,财政扶持与政策激励,0.0,0.0,False,,
L1_Na2c51463,L1_Na2c51463_BR_8bc9bb,L1_Na2c51463_BR_09285d,基础设施与资源保障,财政扶持与政策激励,0.0,0.0,False,,
L2_Nff3b5230,L3_Nfeea0571,L3_N77a3b68b,鼓励新设立国际航空货运转运分拨中心,推进集疏运体系建设,0.08695652173913043,0.5760215520858765,True,,二、强化基础能力保障
L2_Nff3b5230,L3_Nfeea0571,L3_N48dcd88a,鼓励新设立国际航空货运转运分拨中心,助力基地航空公司发展,0.08333333333333333,0.5699477791786194,True,,（一）聚集航空物流资源要素
L2_Nff3b5230,L3_Nfeea0571,L3_N9815851a,鼓励新设立国际航空货运转运分拨中心,培育适航产业,0.047619047619047616,0.5181528329849243,True,,（一）聚集航空物流资源要素
L2_Nff3b5230,L3_N77a3b68b,L3_N48dcd88a,推进集疏运体系建设,助力基地航空公司发展,0.0,0.7518255114555359,True,二、强化基础能力保障,（一）聚集航空物流资源要素
L2_Nff3b5230,L3_N77a3b68b,L3_N9815851a,推进集疏运体系建设,培育适航产业,0.0,0.7168151140213013,True,二、强化基础能力保障,（一）聚集航空物流资源要素
L2_Nff3b5230,L3_N48dcd88a,L3_N9815851a,助力基地航空公司发展,培育适航产业,0.06666666666666667,0.853188157081604,True,（一）聚集航空物流资源要素,（一）聚集航空物流资源要素
L1_Na2c51463_BR_8bc9bb,L2_N9f46f3fd,L2_N53c05738,继续做好航空资源保障,强化基础能力保障,0.125,0.5816635489463806,True,,
L1_Na2c51463_BR_8bc9bb,L2_N9f46f3fd,L2_N5e2fe781,继续做好航空资源保障,加强空地资源保障,0.38461538461538464,0.7321302890777588,True,,
L1_Na2c51463_BR_8bc9bb,L2_N9f46f3fd,L2_Ndf0b5124,继续做好航空资源保障,强化基础能力保障,0.125,0.5816635489463806,True,,
L1_Na2c51463_BR_8bc9bb,L2_N53c05738,L2_N5e2fe781,强化基础能力保障,加强空地资源保障,0.23076923076923078,0.6091168522834778,True,,
L1_Na2c51463_BR_8bc9bb,L2_N53c05738,L2_Ndf0b5124,强化基础能力保障,强化基础能力保障,1.0,1.0,True,,
L1_Na2c51463_BR_8bc9bb,L2_N5e2fe781,L2_Ndf0b5124,加强空地资源保障,强化基础能力保障,0.23076923076923078,0.6091168522834778,True,,
L2_N9f46f3fd,L3_N965cfc12,L3_N8458a8a8,提高航线网络全球通达性,完善航线网络布局,0.26666666666666666,0.8574070930480957,True,（二）加强空地资源保障,（二）强化基础能力保障
L2_N53c05738,L3_Nef0fcc52,L3_N05535c5d,出台新一轮专项扶持政策,加快基础设施建设,0.0,0.7479658722877502,True,（五）不断强化政策引导支持,二、强化基础能力保障
L2_N53c05738,L3_Nef0fcc52,L3_Nb148a883,出台新一轮专项扶持政策,提升设施装备供给水平,0.0,0.6917580366134644,True,（五）不断强化政策引导支持,二、强化基础能力保障
L2_N53c05738,L3_Nef0fcc52,L3_Necbefab2,出台新一轮专项扶持政策,推进基础设施建设,0.0,0.7770483493804932,True,（五）不断强化政策引导支持,（二）强化基础能力保障
L2_N53c05738,L3_Nef0fcc52,L3_N98ef0212,出台新一轮专项扶持政策,优化货物运输组织,0.0,0.6786872148513794,True,（五）不断强化政策引导支持,（二）强化基础能力保障
L2_N53c05738,L3_N05535c5d,L3_Nb148a883,加快基础设施建设,提升设施装备供给水平,0.13333333333333333,0.8701635599136353,True,二、强化基础能力保障,二、强化基础能力保障
L2_N53c05738,L3_N05535c5d,L3_Necbefab2,加快基础设施建设,推进基础设施建设,0.5555555555555556,0.9730455875396729,True,二、强化基础能力保障,（二）强化基础能力保障
L2_N53c05738,L3_N05535c5d,L3_N98ef0212,加快基础设施建设,优化货物运输组织,0.0,0.7847023606300354,True,二、强化基础能力保障,（二）强化基础能力保障
L2_N53c05738,L3_Nb148a883,L3_Necbefab2,提升设施装备供给水平,推进基础设施建设,0.13333333333333333,0.8655809760093689,True,二、强化基础能力保障,（二）强化基础能力保障
L2_N53c05738,L3_Nb148a883,L3_N98ef0212,提升设施装备供给水平,优化货物运输组织,0.0,0.7498412132263184,True,二、强化基础能力保障,（二）强化基础能力保障
L2_N53c05738,L3_Necbefab2,L3_N98ef0212,推进基础设施建设,优化货物运输组织,0.0,0.7873186469078064,True,（二）强化基础能力保障,（二）强化基础能力保障
L2_N5e2fe781,L3_Nea54495c,L3_Nba68b284,加快机场货运重大项目建设,完善机场地区交通集疏运体系,0.13636363636363635,0.8513553142547607,True,（二）加强空地资源保障,（二）加强空地资源保障
L1_Na2c51463_BR_09285d,L2_N33b2d022,L2_Nc21e1f2f,减免口岸及货站操作处置费用,完善财政奖补机制,0.0,0.3292805254459381,True,,（五）加大政策扶持力度
L1_Na2c51463_BR_09285d,L2_N33b2d022,L2_N71ce64b1,减免口岸及货站操作处置费用,争取政策倾斜,0.0,0.3381868600845337,True,,（五）加大政策扶持力度
L1_Na2c51463_BR_09285d,L2_Nc21e1f2f,L2_N71ce64b1,完善财政奖补机制,争取政策倾斜,0.07692307692307693,0.8645172715187073,True,（五）加大政策扶持力度,（五）加大政策扶持力度
L1_N32b4d1be,L2_Nd8a500a1,L2_N0a6e8ca5,加快完善枢纽规划布局,加快推进基础设施建设,0.11764705882352941,0.5888049006462097,True,,
L1_N32b4d1be,L2_Nd8a500a1,L2_Nb22f5139,加快完善枢纽规划布局,全面改善枢纽运营环境,0.17647058823529413,0.7952670454978943,True,,
L1_N32b4d1be,L2_Nd8a500a1,L2_N8228268e,加快完善枢纽规划布局,提升货运设施保障能力,0.0,0.6455193758010864,True,,
L1_N32b4d1be,L2_Nd8a500a1,L2_N3c9cbbd0,加快完善枢纽规划布局,持续夯实机场空侧基础保障,0.0,0.5302019715309143,True,,
L1_N32b4d1be,L2_Nd8a500a1,L2_Nadf8c478,加快完善枢纽规划布局,完善机场货运基础设施,0.1111111111111111,0.6294490694999695,True,,
L1_N32b4d1be,L2_Nd8a500a1,L2_N13abaa5a,加快完善枢纽规划布局,增强货运保障能力,0.0,0.63864666223526,True,,
L1_N32b4d1be,L2_N0a6e8ca5,L2_Nb22f5139,加快推进基础设施建设,全面改善枢纽运营环境,0.0,0.5110156536102295,True,,
L1_N32b4d1be,L2_N0a6e8ca5,L2_N8228268e,加快推进基础设施建设,提升货运设施保障能力,0.11764705882352941,0.592980682849884,True,,
L1_N32b4d1be,L2_N0a6e8ca5,L2_N3c9cbbd0,加快推进基础设施建设,持续夯实机场空侧基础保障,0.10526315789473684,0.45998767018318176,True,,
L1_N32b4d1be,L2_N0a6e8ca5,L2_Nadf8c478,加快推进基础设施建设,完善机场货运基础设施,0.26666666666666666,0.6040453314781189,True,,
L1_N32b4d1be,L2_N0a6e8ca5,L2_N13abaa5a,加快推进基础设施建设,增强货运保障能力,0.0,0.6017232537269592,True,,
L1_N32b4d1be,L2_Nb22f5139,L2_N8228268e,全面改善枢纽运营环境,提升货运设施保障能力,0.05263157894736842,0.6186550259590149,True,,
L1_N32b4d1be,L2_Nb22f5139,L2_N3c9cbbd0,全面改善枢纽运营环境,持续夯实机场空侧基础保障,0.0,0.5652673244476318,True,,
L1_N32b4d1be,L2_Nb22f5139,L2_Nadf8c478,全面改善枢纽运营环境,完善机场货运基础设施,0.1111111111111111,0.5959771275520325,True,,
L1_N32b4d1be,L2_Nb22f5139,L2_N13abaa5a,全面改善枢纽运营环境,增强货运保障能力,0.058823529411764705,0.6140548586845398,True,,
L1_N32b4d1be,L2_N8228268e,L2_N3c9cbbd0,提升货运设施保障能力,持续夯实机场空侧基础保障,0.1,0.5720543265342712,True,,
L1_N32b4d1be,L2_N8228268e,L2_Nadf8c478,提升货运设施保障能力,完善机场货运基础设施,0.25,0.7256746292114258,True,,
L1_N32b4d1be,L2_N8228268e,L2_N13abaa5a,提升货运设施保障能力,增强货运保障能力,0.5,0.8757506012916565,True,,
L1_N32b4d1be,L2_N3c9cbbd0,L2_Nadf8c478,持续夯实机场空侧基础保障,完善机场货运基础设施,0.2222222222222222,0.650784432888031,True,,
L1_N32b4d1be,L2_N3c9cbbd0,L2_N13abaa5a,持续夯实机场空侧基础保障,增强货运保障能力,0.1111111111111111,0.6095154285430908,True,,
L1_N32b4d1be,L2_Nadf8c478,L2_N13abaa5a,完善机场货运基础设施,增强货运保障能力,0.125,0.6845629215240479,True,,
L3_N06f95f57,L4_N30b235c2,L4_N255c1775,推动机场功能定位差异化发展,依托主要运营人推进客货枢纽建设,0.037037037037037035,0.845903217792511,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L3_N06f95f57,L4_N30b235c2,L4_N3220a070,推动机场功能定位差异化发展,打造内畅外联航线网络,0.0,0.8382157683372498,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L3_N06f95f57,L4_N30b235c2,L4_Nc38e3e2b,推动机场功能定位差异化发展,加快补齐核心资源短板,0.0,0.8465182185173035,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L3_N06f95f57,L4_N255c1775,L4_N3220a070,依托主要运营人推进客货枢纽建设,打造内畅外联航线网络,0.0,0.84215247631073,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L3_N06f95f57,L4_N255c1775,L4_Nc38e3e2b,依托主要运营人推进客货枢纽建设,加快补齐核心资源短板,0.0,0.8699241280555725,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L3_N06f95f57,L4_N3220a070,L4_Nc38e3e2b,打造内畅外联航线网络,加快补齐核心资源短板,0.0,0.8542982339859009,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （一）系统推进航空客货枢纽建设
L2_N0a6e8ca5,L3_Nb5312c92,L3_Nb0e7dd4f,加快国际航空物流中心载体建设,加快数字基建建设,0.23529411764705882,0.6962859630584717,True,,（二）增强货运保障能力。
L2_N8228268e,L3_Nd571b089,L3_Na4101ee7,提升装备专业化水平,加强货运设施建设,0.0,0.9024381041526794,True,（一）提升货运设施保障能力。,（二）增强货运保障能力。
L2_N3c9cbbd0,L3_N9ae5e272,L3_N701e7011,统筹一级货站功能,优化空空中转业务,0.0,0.8514604568481445,True,四、持续夯实天津滨海国际机场空侧基础保障,四、持续夯实天津滨海国际机场空侧基础保障
L2_Nadf8c478,L3_N7c0dd099,L3_N252b74e4,强化国际机场货运枢纽地位,拓展航空物流货源市场,0.1,0.8543311357498169,True,三、集中力量建设中国国际航空物流中心,三、集中力量建设中国国际航空物流中心
L2_Nadf8c478,L3_N7c0dd099,L3_N065c586b,强化国际机场货运枢纽地位,引育货运基地航空公司,0.15789473684210525,0.6646056175231934,True,三、集中力量建设中国国际航空物流中心,
L2_Nadf8c478,L3_N252b74e4,L3_N065c586b,拓展航空物流货源市场,引育货运基地航空公司,0.17647058823529413,0.6333116888999939,True,三、集中力量建设中国国际航空物流中心,
L2_N13abaa5a,L3_N2123971e,L3_Ne96a4ba3,完善货运功能配套,增强航空货运基础保障能力,0.17647058823529413,0.845106840133667,True,（二）增强货运保障能力。,二、重点工作任务
L3_Ne96a4ba3,L4_Nf737d76d,L4_N4b0d0e0c,加强地面综合交通能力匹配,优化空港口岸海关指定监管场地布局,0.037037037037037035,0.7751107811927795,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （二）增强航空货运基础保障能力
L3_Ne96a4ba3,L4_Nf737d76d,L4_Nef2378d9,加强地面综合交通能力匹配,丰富空港口岸资质类型,0.0,0.7896783351898193,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （二）增强航空货运基础保障能力
L3_Ne96a4ba3,L4_Nf737d76d,L4_N848f47e5,加强地面综合交通能力匹配,统筹完善机场航空货运保障设施设备,0.0,0.8337209224700928,True,二、重点工作任务 > （一）系统推进航空客货枢纽建设,二、重点工作任务 > （二）增强航空货运基础保障能力
L3_Ne96a4ba3,L4_N4b0d0e0c,L4_Nef2378d9,优化空港口岸海关指定监管场地布局,丰富空港口岸资质类型,0.18181818181818182,0.877320408821106,True,二、重点工作任务 > （二）增强航空货运基础保障能力,二、重点工作任务 > （二）增强航空货运基础保障能力
L3_Ne96a4ba3,L4_N4b0d0e0c,L4_N848f47e5,优化空港口岸海关指定监管场地布局,统筹完善机场航空货运保障设施设备,0.06896551724137931,0.8371899724006653,True,二、重点工作任务 > （二）增强航空货运基础保障能力,二、重点工作任务 > （二）增强航空货运基础保障能力
L3_Ne96a4ba3,L4_Nef2378d9,L4_N848f47e5,丰富空港口岸资质类型,统筹完善机场航空货运保障设施设备,0.041666666666666664,0.8455330729484558,True,二、重点工作任务 > （二）增强航空货运基础保障能力,二、重点工作任务 > （二）增强航空货运基础保障能力
L1_N40f698d4,L1_N40f698d4_BR_a5c559,L1_N40f698d4_BR_374394,航空货运航线网络建设,多式联运与集疏运体系,0.0625,0.0,False,,
L1_N40f698d4,L1_N40f698d4_BR_a5c559,L1_N40f698d4_BR_79999c,航空货运航线网络建设,货运中转与运力提升,0.14285714285714285,0.0,False,,
L1_N40f698d4,L1_N40f698d4_BR_374394,L1_N40f698d4_BR_79999c,多式联运与集疏运体系,货运中转与运力提升,0.07142857142857142,0.0,False,,
L1_N40f698d4_BR_a5c559,L2_N08a346fe,L2_N8c3b0cad,加快构建国际航线网络,构建覆盖全球的货运航线网络,0.375,0.7433913350105286,True,,
L1_N40f698d4_BR_a5c559,L2_N08a346fe,L2_N8e687f9d,加快构建国际航线网络,构建全球航空货运网络,0.3333333333333333,0.6970465183258057,True,,
L1_N40f698d4_BR_a5c559,L2_N08a346fe,L2_Nd0b47c6e,加快构建国际航线网络,构建全球国际航线网络,0.6666666666666666,0.8723752498626709,True,,
L1_N40f698d4_BR_a5c559,L2_N08a346fe,L2_N926fa20a,加快构建国际航线网络,优化拓展货运航线网络,0.25,0.7239189743995667,True,,
L1_N40f698d4_BR_a5c559,L2_N08a346fe,L2_Nbfebbffa,加快构建国际航线网络,构建优质航线网络,0.5,0.805512011051178,True,,
L1_N40f698d4_BR_a5c559,L2_N8c3b0cad,L2_N8e687f9d,构建覆盖全球的货运航线网络,构建全球航空货运网络,0.6923076923076923,0.8424770832061768,True,,
L1_N40f698d4_BR_a5c559,L2_N8c3b0cad,L2_Nd0b47c6e,构建覆盖全球的货运航线网络,构建全球国际航线网络,0.5714285714285714,0.8326282501220703,True,,
L1_N40f698d4_BR_a5c559,L2_N8c3b0cad,L2_N926fa20a,构建覆盖全球的货运航线网络,优化拓展货运航线网络,0.375,0.7864669561386108,True,,
L1_N40f698d4_BR_a5c559,L2_N8c3b0cad,L2_Nbfebbffa,构建覆盖全球的货运航线网络,构建优质航线网络,0.42857142857142855,0.7395887970924377,True,,
L1_N40f698d4_BR_a5c559,L2_N8e687f9d,L2_Nd0b47c6e,构建全球航空货运网络,构建全球国际航线网络,0.5384615384615384,0.8075394034385681,True,,
L1_N40f698d4_BR_a5c559,L2_N8e687f9d,L2_N926fa20a,构建全球航空货运网络,优化拓展货运航线网络,0.3333333333333333,0.7269600033760071,True,,
L1_N40f698d4_BR_a5c559,L2_N8e687f9d,L2_Nbfebbffa,构建全球航空货运网络,构建优质航线网络,0.38461538461538464,0.6576879024505615,True,,
L1_N40f698d4_BR_a5c559,L2_Nd0b47c6e,L2_N926fa20a,构建全球国际航线网络,优化拓展货运航线网络,0.25,0.689163863658905,True,,
L1_N40f698d4_BR_a5c559,L2_Nd0b47c6e,L2_Nbfebbffa,构建全球国际航线网络,构建优质航线网络,0.5,0.8232480883598328,True,,
L1_N40f698d4_BR_a5c559,L2_N926fa20a,L2_Nbfebbffa,优化拓展货运航线网络,构建优质航线网络,0.38461538461538464,0.7364299893379211,True,,
L2_N08a346fe,L3_Ndf8ae654,L3_N86ef6403,完善国际航空货运航线,加大国际航空货运航班时刻供给,0.375,0.9176323413848877,True,,三、构建全球国际航线网络
L2_N08a346fe,L3_Ndf8ae654,L3_Nf3b017a0,完善国际航空货运航线,完善国际货运航线,0.8888888888888888,0.9628044962882996,True,,（一）构建优质航线网络。
L2_N08a346fe,L3_N86ef6403,L3_Nf3b017a0,加大国际航空货运航班时刻供给,完善国际货运航线,0.3125,0.868221640586853,True,三、构建全球国际航线网络,（一）构建优质航线网络。
L3_Nf3b017a0,L4_Nb11795db,L4_Na37f8214,开通和加密贸易密切城市及货源丰富地区航线,引导国际货运航线布局与制造业需求对接,0.0967741935483871,0.8502838611602783,True,（一）构建优质航线网络。 > 1.完善国际货运航线。,（一）构建优质航线网络。 > 1.完善国际货运航线。
L1_N40f698d4_BR_374394,L2_Nb80d9c6e,L2_N2f1afa59,提升航空货运枢纽集疏运能力,丰富多式联运体系,0.05263157894736842,0.4980938136577606,True,,
L1_N40f698d4_BR_374394,L2_Nb80d9c6e,L2_N18198f00,提升航空货运枢纽集疏运能力,畅通机场陆侧货运物流体系,0.09090909090909091,0.709216296672821,True,,
L1_N40f698d4_BR_374394,L2_Nb80d9c6e,L2_Nef4148e3,提升航空货运枢纽集疏运能力,完善多式联运体系,0.05263157894736842,0.6296753287315369,True,,
L1_N40f698d4_BR_374394,L2_N2f1afa59,L2_N18198f00,丰富多式联运体系,畅通机场陆侧货运物流体系,0.17647058823529413,0.5496771931648254,True,,
L1_N40f698d4_BR_374394,L2_N2f1afa59,L2_Nef4148e3,丰富多式联运体系,完善多式联运体系,0.6,0.855515718460083,True,,
L1_N40f698d4_BR_374394,L2_N18198f00,L2_Nef4148e3,畅通机场陆侧货运物流体系,完善多式联运体系,0.17647058823529413,0.6050591468811035,True,,
L2_Nb80d9c6e,L3_Nc5166684,L3_Nab82e98f,提升揽货集货能力,提升中转联运功能,0.25,0.7438345551490784,True,（三）大力拓展货源腹地,
L2_Nb80d9c6e,L3_Nc5166684,L3_N14530829,提升揽货集货能力,增强机场集疏运能力,0.23076923076923078,0.6050543785095215,True,（三）大力拓展货源腹地,五、畅通天津滨海国际机场陆侧货运物流体系
L2_Nb80d9c6e,L3_Nc5166684,L3_Nc97533ee,提升揽货集货能力,引进航司提升运力,0.25,0.7146797776222229,True,（三）大力拓展货源腹地,（一）构建优质航线网络。
L2_Nb80d9c6e,L3_Nab82e98f,L3_N14530829,提升中转联运功能,增强机场集疏运能力,0.13333333333333333,0.6920778155326843,True,,五、畅通天津滨海国际机场陆侧货运物流体系
L2_Nb80d9c6e,L3_Nab82e98f,L3_Nc97533ee,提升中转联运功能,引进航司提升运力,0.23076923076923078,0.7831779718399048,True,,（一）构建优质航线网络。
L2_Nb80d9c6e,L3_N14530829,L3_Nc97533ee,增强机场集疏运能力,引进航司提升运力,0.13333333333333333,0.632600724697113,True,五、畅通天津滨海国际机场陆侧货运物流体系,（一）构建优质航线网络。
L1_N40f698d4_BR_79999c,L2_Nc81ee0b8,L2_N4db8aea7,拓展货源腹地,促进中转货量增长,0.07692307692307693,0.47153687477111816,True,,
L1_N40f698d4_BR_79999c,L2_Nc81ee0b8,L2_Ne4cef915,拓展货源腹地,增加全货机运力,0.08333333333333333,0.43479862809181213,True,,
L1_N40f698d4_BR_79999c,L2_Nc81ee0b8,L2_N3d4844b8,拓展货源腹地,提升航空物流通达能力,0.0,0.3148415982723236,True,,
L1_N40f698d4_BR_79999c,L2_N4db8aea7,L2_Ne4cef915,促进中转货量增长,增加全货机运力,0.15384615384615385,0.63640958070755,True,,
L1_N40f698d4_BR_79999c,L2_N4db8aea7,L2_N3d4844b8,促进中转货量增长,提升航空物流通达能力,0.0,0.6017862558364868,True,,
L1_N40f698d4_BR_79999c,L2_Ne4cef915,L2_N3d4844b8,增加全货机运力,提升航空物流通达能力,0.0625,0.6939293146133423,True,,
L2_N4db8aea7,L3_N9d8779ad,L3_Nf50b9a9d,提升国际货运中转功能,推进临空经济发展,0.0,0.7571851015090942,True,,（三）大力拓展货源腹地
